Departure Date,,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Dec-18,,Darwin,Panjang,5,Dec-18,174,2,0.0115,3253,0,0,,,
Dec-18,,Fremantle,Huanghua,23,Jan-19,,,,1477,2,0.0014,,,
Dec-18,,Fremantle,Eilat,21,Jan-19,,,,4391,12,0.0027,7650,18,0.0024
Dec-18,,Portland,Huanghua,18,Jan-19,,,,3748,3,0.0008,,,
Dec-18,,Portland,Tangshan,21,Jan-19,,,,3234,8,0.0025,,,
Dec-18,,Brisbane,Shinmoji,17,Jan-19,,,,1410,0,0,,,
Dec-18,,Fremantle,Long An/Thi Vai,11,Dec-18,,,,4335,2,0.0005,,,
Dec-18,,Broome,Hon La,15,Jan-19,,,,1892,5,0.0026,,,
Dec-18,,Portland,China,17,Jan-19,,,,3960,1,0.0003,,,
Dec-18,,Portland,Jingtang,20,Jan-19,,,,4975,12,0.0024,,,
Dec-18,,Fremantle,Hamad/Jebel Ali/Kuwait,22,Jan-19,,,,312,0,0,69917,211,0.003
Dec-18,,Port Alma,Quingdao,15,Jan-19,,,,2199,5,0.0023,,,
Dec-18,,Darwin,Panjang,8,Jan-19,,,,5439,1,0.0002,,,
Dec-18,,Fremantle,Hai Phong,14,Jan-19,,,,1347,3,0.0022,,,
Dec-18,,Townsville,Hai Phong,13,Jan-19,,,,2398,2,0.0008,,,
Dec-18,,Portland,Rongcheng,19,Jan-19,,,,2405,9,0.0037,,,
Jan-19,,Darwin,Hai Phong,9,Jan-19,95,1,0.0105,2563,0,0,,,
Jan-19,,Fremantle,Lianyungang,12,Jan-19,,,,1743,0,0,,,
Jan-19,,Darwin,Belawan/Panjang,10,Jan-19,167,0,0,2466,1,0.0004,,,
Jan-19,,Fremantle,Huanghua,15,Jan-19,,,,1752,1,0.0006,,,
Jan-19,,Darwin,Tangjun Priok,7,Jan-19,,,,1840,0,0,,,
Jan-19,,Portland,Karachi/Sohar,25,Feb-19,,,,4020,4,0.001,,,
Jan-19,,Fremantle,Ho Chi Minh/Hon La,15,Jan-19,,,,4877,11,0.0023,,,
Jan-19,,Darwin,Jakarta,5,Jan-19,,,,3757,0,0,,,
Jan-19,,Townsville,Jakarta/Panjang,13,Jan-19,,,,6134,3,0.0005,,,
Jan-19,,Darwin,Hon La,9,Jan-19,151,0,0,2775,6,0.0022,,,
Jan-19,,Darwin,Jakarta,7,Jan-19,,,,3558,1,0.0003,,,
Jan-19,,Fremantle,Hamad/Kuwait,20,Feb-19,,,,176,0,0,64548,140,0.0022
Jan-19,,Darwin,Jakarta,9,Jan-19,,,,2530,0,0,,,
Jan-19,,Portland,Jebel Ali/Sohar,21,Feb-19,,,,3470,3,0.0009,,,
Jan-19,,Townsville,Hai Phong,11,Feb-19,,,,2446,2,0.0008,,,
Jan-19,,Townsville,Hai Phong,11,Feb-19,,,,1975,3,0.0015,,,
Jan-19,,Fremantle,Panjang,5,Jan-19,,,,5400,1,0.0002,,,
Jan-19,,Townsville,Panjang,8,Feb-19,,,,3949,1,0.0003,,,
Jan-19,,Darwin,Belawan,9,Feb-19,,,,3385,0,0,,,
Jan-19,,Fremantle,Aqaba/Eilat,17,Feb-19,,,,11160,18,0.0016,36050,68,0.0019
Jan-19,,Fremantle,Haifa,22,Feb-19,,,,4721,9,0.0019,6715,33,0.0049
Jan-19,,Brisbane,Shinmoji,16,Feb-19,,,,1350,1,0.0007,,,
Jan-19,,Townsville,Jakarta,13,Feb-19,,,,2047,3,0.0015,,,
Jan-19,,Fremantle,Jakarta,5,Feb-19,,,,3843,3,0.0008,,,
Jan-19,,Darwin,Jakarta,5,Feb-19,,,,3705,1,0.0003,,,
Feb-19,,Fremantle,Hamad/Jebel Ali/Kuwait,23,Feb-19,,,,311,0,0,71160,329,0.0046
Feb-19,,Darwin,Jakarta,8,Feb-19,,,,2639,1,0.0004,,,
Feb-19,,Fremantle,Eilat,18,Feb-19,,,,2649,2,0.0008,5004,31,0.0062
Feb-19,,Darwin,Panjang,7,Feb-19,,,,3062,1,0.0003,,,
Feb-19,,Darwin,Jakarta,5,Feb-19,,,,3633,1,0.0003,,,
