,Departure Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct,Duration (days)
0,Dec-13,,,,1360.0,0.0,0.0,,,,13
1,Dec-13,,,,3102.0,4.0,0.0013,,,,8
2,Dec-13,,,,15362.0,17.0,0.0011,,,,12
3,Dec-13,,,,879.0,1.0,0.0011,72053.0,554.0,0.0077,33
4,Dec-13,,,,150.0,0.0,0.0,77860.0,243.0,0.0031,19
5,Dec-13,,,,2745.0,2.0,0.0007,,,,14
6,Dec-13,,,,2705.0,1.0,0.0004,,,,7
7,Dec-13,,,,1300.0,7.0,0.0054,836.0,6.0,0.0072,13
8,Dec-13,,,,4543.0,10.0,0.0022,,,,16
9,Dec-13,,,,1367.0,7.0,0.0051,,,,12
10,Dec-13,,,,20033.0,31.0,0.0015,,,,17
11,Dec-13,,,,5204.0,2.0,0.0004,,,,10
12,Dec-13,,,,1968.0,1.0,0.0005,,,,5
13,Dec-13,,,,8817.0,1.0,0.0001,,,,9
14,Dec-13,,,,1422.0,3.0,0.0021,,,,6
15,Dec-13,,,,1110.0,0.0,0.0,,,,17
16,Dec-13,,,,7500.0,6.0,0.0008,,,,19
17,Dec-13,,,,,,,75236.0,366.0,0.0049,22
18,Dec-13,,,,2006.0,7.0,0.0035,,,,12
19,Dec-13,,,,16406.0,23.0,0.0014,,,,9
20,Dec-13,,,,2416.0,3.0,0.0012,,,,5
21,Jan-14,,,,5467.0,14.0,0.0026,,,,28
22,Jan-14,,,,1326.0,2.0,0.0015,,,,14
23,Jan-14,,,,1987.0,7.0,0.0035,,,,7
24,Jan-14,,,,2856.0,1.0,0.0004,,,,19
25,Jan-14,,,,2638.0,2.0,0.0008,,,,14
26,Jan-14,,,,1393.0,49.0,0.0352,,,,16
27,Jan-14,,,,3088.0,0.0,0.0,,,,5
28,Jan-14,,,,5090.0,4.0,0.0008,,,,11
29,Jan-14,,,,1414.0,4.0,0.0028,,,,10
30,Jan-14,,,,1231.0,1.0,0.0008,999.0,6.0,0.006,13
31,Jan-14,,,,2931.0,1.0,0.0003,,,,5
32,Jan-14,,,,150.0,0.0,0.0,84669.0,188.0,0.0022,22
33,Jan-14,,,,2279.0,0.0,0.0,,,,10
34,Jan-14,,,,2090.0,4.0,0.0019,,,,14
35,Jan-14,,,,6000.0,165.0,0.0275,42550.0,1654.0,0.0389,36
36,Jan-14,,,,4005.0,2.0,0.0005,,,,5
37,Jan-14,,,,3142.0,2.0,0.0006,,,,9
38,Jan-14,,,,3000.0,2.0,0.0007,,,,18
39,Jan-14,,,,2794.0,1.0,0.0004,,,,10
40,Jan-14,,,,,,,71185.0,215.0,0.003,20
41,Jan-14,,,,2706.0,2.0,0.0007,,,,5
42,Jan-14,,,,,,,1388.0,2.0,0.0014,11
43,Jan-14,,,,1899.0,0.0,0.0,,,,8
44,Feb-14,,,,4021.0,0.0,0.0,,,,5
45,Feb-14,,,,4868.0,0.0,0.0,,,,10
46,Feb-14,,,,3871.0,3.0,0.0008,,,,12
47,Feb-14,,,,3731.0,1.0,0.0003,,,,9
48,Feb-14,,,,1079.0,1.0,0.0009,,,,17
49,Feb-14,,,,2000.0,1.0,0.0005,,,,9
50,Feb-14,,,,12566.0,47.0,0.0037,36973.0,240.0,0.0065,26
51,Feb-14,,,,3032.0,0.0,0.0,,,,10
52,Feb-14,,,,2230.0,2.0,0.0009,,,,8
53,Feb-14,,,,3532.0,3.0,0.0008,,,,11
54,Feb-14,,,,1794.0,1.0,0.0006,,,,9
55,Feb-14,,,,5106.0,7.0,0.0014,,,,12
56,Feb-14,,,,,,,79599.0,302.0,0.0038,28
57,Feb-14,,,,690.0,0.0,0.0,91594.0,425.0,0.0046,30
58,Feb-14,214.0,0.0,0.0,2249.0,5.0,0.0022,,,,10
59,Feb-14,,,,2843.0,0.0,0.0,,,,6
60,Feb-14,,,,2238.0,1.0,0.0004,,,,5
61,Feb-14,,,,1478.0,2.0,0.0014,,,,12
62,Feb-14,,,,2400.0,49.0,0.0204,,,,17
63,Feb-14,,,,2045.0,1.0,0.0005,,,,5
64,Feb-14,,,,4954.0,6.0,0.0012,,,,14
65,Feb-14,,,,3814.0,1.0,0.0003,,,,17
66,Feb-14,,,,2661.0,1.0,0.0004,,,,9
67,Feb-14,,,,3925.0,0.0,0.0,,,,9
68,Feb-14,,,,1235.0,1.0,0.0008,1000.0,5.0,0.005,12
69,Mar-14,,,,3412.0,1.0,0.0003,,,,19
70,Mar-14,,,,1813.0,1.0,0.0006,,,,15
71,Mar-14,,,,1396.0,8.0,0.0057,,,,13
72,Mar-14,,,,9410.0,4.0,0.0004,,,,12
73,Mar-14,,,,6793.0,2.0,0.0003,,,,13
74,Mar-14,,,,2870.0,2.0,0.0007,,,,18
75,Mar-14,,,,3100.0,1.0,0.0003,,,,7
76,Mar-14,404.0,0.0,0.0,980.0,4.0,0.0041,,,,10
77,Mar-14,,,,2737.0,1.0,0.0004,,,,10
78,Mar-14,,,,3828.0,2.0,0.0005,,,,7
79,Mar-14,,,,2860.0,0.0,0.0,,,,4
80,Mar-14,,,,627.0,3.0,0.0048,69933.0,348.0,0.005,25
81,Mar-14,,,,3751.0,0.0,0.0,,,,11
82,Mar-14,,,,1465.0,0.0,0.0,541.0,2.0,0.0037,9
83,Mar-14,,,,1080.0,6.0,0.0056,,,,16
84,Mar-14,,,,3081.0,0.0,0.0,,,,8
85,Mar-14,,,,3403.0,0.0,0.0,,,,6
86,Mar-14,,,,6419.0,1.0,0.0002,,,,9
87,Mar-14,,,,4068.0,1.0,0.0002,,,,7
88,Mar-14,,,,2907.0,0.0,0.0,,,,5
89,Mar-14,,,,2818.0,0.0,0.0,,,,8
90,Mar-14,,,,3570.0,2.0,0.0006,,,,5
91,Mar-14,,,,13056.0,8.0,0.0006,,,,15
92,Mar-14,,,,7298.0,0.0,0.0,,,,8
93,Mar-14,,,,2887.0,4.0,0.0014,,,,9
94,Mar-14,,,,3106.0,3.0,0.001,,,,8
95,Mar-14,,,,3661.0,0.0,0.0,,,,8
