Mode,Month,State,Load Port,Species,End Use,Country,Quantity,Year
Air,Jul,SA,Adelaide,Goats,Slaughter,Malaysia,100,2014
Sea,Jul,SA,Port Adelaide,Sheep,Slaughter,Bahrain,22000,2014
Sea,Jul,SA,Port Adelaide,Sheep,Slaughter,Qatar,25484,2014
Air,Jul,SA,Adelaide,Sheep,Slaughter,Malaysia,111,2014
Sea,Jul,WA,Fremantle,Cattle,Slaughter,Egypt,2403,2014
Sea,Jul,WA,Fremantle,Sheep,Slaughter,Egypt,57770,2014
Sea,Jul,NT,Darwin,Cattle,Slaughter,Indonesia,400,2014
Sea,Jul,NT,Darwin,Cattle,Feeder,Indonesia,16626,2014
Sea,Jul,VIC,Portland,Cattle,Breeder,China,2995,2014
Sea,Jul,QLD,Brisbane,Cattle,Feeder,Japan,540,2014
Air,Jul,VIC,Melbourne,Cattle,Breeder,Bangladesh,2,2014
Air,Jul,NSW,Sydney,Cattle,Breeder,Japan,3,2014
Sea,Jul,NT,Darwin,Cattle,Slaughter,Sarawak,468,2014
Sea,Jul,NT,Darwin,Cattle,Slaughter,Brunei Darussalam,1045,2014
Sea,Jul,NT,Darwin,Buffalo,Slaughter,Brunei Darussalam,65,2014
Sea,Jul,QLD,Brisbane,Cattle,Feeder,Japan,420,2014
Air,Jul,SA,Adelaide,Goats,Slaughter,Malaysia,1947,2014
Air,Jul,SA,Adelaide,Sheep,Slaughter,Malaysia,328,2014
Sea,Jul,VIC,Portland,Cattle,Breeder,China,2944,2014
Sea,Jul,WA,Fremantle,Cattle,Slaughter,Qatar,150,2014
Sea,Jul,WA,Fremantle,Sheep,Slaughter,Qatar,4516,2014
Sea,Jul,WA,Fremantle,Sheep,Slaughter,Oman,11646,2014
Sea,Jul,WA,Fremantle,Sheep,Slaughter,United Arab Emirates,4657,2014
Sea,Jul,WA,Fremantle,Sheep,Slaughter,Bahrain,3000,2014
Sea,Jul,NT,Darwin,Cattle,Feeder,Indonesia,6128,2014
Sea,Jul,NT,Darwin,Cattle,Slaughter,Indonesia,601,2014
Sea,Jul,NT,Darwin,Cattle,Feeder,Philippines,1665,2014
Sea,Jul,NT,Darwin,Cattle,Slaughter,Vietnam,2643,2014
Sea,Jul,NT,Darwin,Cattle,Slaughter,Vietnam,1703,2014
Sea,Jul,NT,Darwin,Buffalo,Slaughter,Vietnam,544,2014
Sea,Jul,NT,Darwin,Cattle,Slaughter,Vietnam,1831,2014
Sea,Jul,NT,Darwin,Cattle,Slaughter,Vietnam,4985,2014
Sea,Jul,NT,Darwin,Cattle,Slaughter,Malaysia,2534,2014
Sea,Jul,WA,Broome,Cattle,Slaughter,Malaysia,1095,2014
Sea,Jul,WA,Broome,Cattle,Slaughter,Indonesia,1028,2014
Sea,Jul,NT,Darwin,Cattle,Feeder,Indonesia,3319,2014
Sea,Jul,NT,Darwin,Cattle,Slaughter,Indonesia,437,2014
Sea,Jul,WA,Broome,Cattle,Slaughter,Malaysia,1426,2014
Air,Jul,SA,Adelaide,Goats,Slaughter,Malaysia,178,2014
Air,Jul,NSW,Sydney,Goats,Slaughter,Malaysia,476,2014
Air,Jul,NSW,Sydney,Sheep,Slaughter,Malaysia,218,2014
Air,Jul,NSW,Sydney,Cattle,Breeder,Malaysia,79,2014
Air,Jul,VIC,Melbourne,Goats,Breeder,China,186,2014
Air,Jul,VIC,Melbourne,Sheep,Breeder,China,826,2014
Air,Jul,VIC,Melbourne,Cattle,Breeder,China,480,2014
Sea,Jul,WA,Fremantle,Sheep,Slaughter,Kuwait,61832,2014
Sea,Jul,SA,Port Adelaide,Sheep,Slaughter,Qatar,26000,2014
Sea,Jul,SA,Port Adelaide,Sheep,Slaughter,Kuwait,6459,2014
Air,Jul,SA,Adelaide,Goats,Slaughter,Malaysia,1662,2014
Air,Jul,SA,Adelaide,Sheep,Slaughter,Malaysia,449,2014
Sea,Jul,QLD,Karumba,Cattle,Slaughter,Vietnam,1406,2014
Sea,Jul,NT,Darwin,Buffalo,Slaughter,Vietnam,382,2014
Sea,Jul,NT,Darwin,Cattle,Slaughter,Vietnam,1043,2014
Sea,Jul,WA,Broome,Cattle,Slaughter,Malaysia,2519,2014
Air,Jul,NSW,Sydney,Goats,Slaughter,Malaysia,899,2014
Air,Jul,NSW,Sydney,Sheep,Slaughter,Malaysia,1213,2014
