Departure Date,,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Dec-13,,Karumba,Muara/Tawan,13,Dec-13,,,,1360,0,0,,,
Dec-13,,Darwin,Panjang,8,Dec-13,,,,3102,4,0.0013,,,
Dec-13,,Darwin,Jakarta,12,Dec-13,,,,15362,17,0.0011,,,
Dec-13,,Fremantle/Portland,Doha/Jebel Ali/Karachi/Kuwait,33,Jan-14,,,,879,1,0.0011,72053,554,0.0077
Dec-13,,Fremantle,Doha/Kuwait,19,Jan-14,,,,150,0,0,77860,243,0.0031
Dec-13,,Geraldton,Belawan,14,Dec-13,,,,2745,2,0.0007,,,
Dec-13,,Darwin,Panjang,7,Dec-13,,,,2705,1,0.0004,,,
Dec-13,,Fremantle,Port Klang,13,Dec-13,,,,1300,7,0.0054,836,6,0.0072
Dec-13,,Portland,Tianjin,16,Jan-14,,,,4543,10,0.0022,,,
Dec-13,,Geraldton,Hai Phong,12,Jan-14,,,,1367,7,0.0051,,,
Dec-13,,Townsville,Jakarta/Panjang,17,Jan-14,,,,20033,31,0.0015,,,
Dec-13,,Townsville,Lotus,10,Jan-14,,,,5204,2,0.0004,,,
Dec-13,,Geraldton,Jakarta,5,Dec-13,,,,1968,1,0.0005,,,
Dec-13,,Darwin,Panjang,9,Jan-14,,,,8817,1,0.0001,,,
Dec-13,,Darwin,Cilacap,6,Dec-13,,,,1422,3,0.0021,,,
Dec-13,,Brisbane,Shinmoji,17,Jan-14,,,,1110,0,0,,,
Dec-13,,Fremantle,Eilat,19,Jan-14,,,,7500,6,0.0008,,,
Dec-13,,Fremantle,Jebel Ali/Kuwait/Muscat,22,Jan-14,,,,,,,75236,366,0.0049
Dec-13,,Geraldton,Hai Pong,12,Jan-14,,,,2006,7,0.0035,,,
Dec-13,,Darwin,Jakarta,9,Jan-14,,,,16406,23,0.0014,,,
Dec-13,,Darwin,Subic Bay,5,Jan-14,,,,2416,3,0.0012,,,
Jan-14,,Fremantle,Eilat,28,Jan-14,,,,5467,14,0.0026,,,
Jan-14,,Geraldton,Binh Duong,14,Jan-14,,,,1326,2,0.0015,,,
Jan-14,,Geraldton,Bourbon Ben Luc Port,7,Jan-14,,,,1987,7,0.0035,,,
Jan-14,,Portland,Dalian,19,Jan-14,,,,2856,1,0.0004,,,
Jan-14,,Townsviile,Haiphong,14,Jan-14,,,,2638,2,0.0008,,,
Jan-14,*,Geraldton,Haiphong,16,Jan-14,,,,1393,49,0.0352,,,
Jan-14,,Darwin,Panjang,5,Jan-14,,,,3088,0,0,,,
Jan-14,,Townsville,Lotus,11,Jan-14,,,,5090,4,0.0008,,,
Jan-14,,Darwin,Dong Nai,10,Jan-14,,,,1414,4,0.0028,,,
Jan-14,,Fremantle,Port Klang,13,Jan-14,,,,1231,1,0.0008,999,6,0.006
Jan-14,,Darwin,Jakarta,5,Jan-14,,,,2931,1,0.0003,,,
Jan-14,,Fremantle,Doha/Kuwait,22,Feb-14,,,,150,0,0,84669,188,0.0022
Jan-14,,Fremantle,Jakarta/Panjang,10,Jan-14,,,,2279,0,0,,,
Jan-14,,Fremantle,Pasir Gudang,14,Jan-14,,,,2090,4,0.0019,,,
Jan-14,*,Fremantle,Aqaba/Eilat,36,Feb-14,,,,6000,165,0.0275,42550,1654,0.0389
Jan-14,,Darwin,Jakarta,5,Jan-14,,,,4005,2,0.0005,,,
Jan-14,,Townsville,Jakarta,9,Feb-14,,,,3142,2,0.0006,,,
Jan-14,,Portland,Shidao,18,Feb-14,,,,3000,2,0.0007,,,
Jan-14,,Townsville,Jakarta,10,Feb-14,,,,2794,1,0.0004,,,
Jan-14,,Fremantle,Jebel Ali/Kuwait,20,Feb-14,,,,,,,71185,215,0.003
Jan-14,,Fremantle,Jakarta,5,Feb-14,,,,2706,2,0.0007,,,
Jan-14,,Geraldton,Haiphong,11,Feb-14,,,,,,,1388,2,0.0014
Jan-14,,Darwin,Cilacap,8,Feb-14,,,,1899,0,0,,,
Feb-14,,Darwin,Jakarta,5,Feb-14,,,,4021,0,0,,,
Feb-14,,Townsville,Lotus,10,Feb-14,,,,4868,0,0,,,
Feb-14,,Townsville,Jakarta,12,Feb-14,,,,3871,3,0.0008,,,
Feb-14,,Townsville,Panjang,9,Feb-14,,,,3731,1,0.0003,,,
Feb-14,,Brisbane,Shinmoji,17,Feb-14,,,,1079,1,0.0009,,,
Feb-14,,Darwin,Belawan,9,Feb-14,,,,2000,1,0.0005,,,
Feb-14,,Fremantle,Aqaba/Eilat,26,Mar-14,,,,12566,47,0.0037,36973,240,0.0065
Feb-14,,Darwin,Panjang,10,Feb-14,,,,3032,0,0,,,
Feb-14,,Fremantle,Jakarta,8,Feb-14,,,,2230,2,0.0009,,,
Feb-14,,Townsville,Jakarta,11,Feb-14,,,,3532,3,0.0008,,,
Feb-14,,Fremantle,Panjang,9,Feb-14,,,,1794,1,0.0006,,,
Feb-14,,Townsville,Lotus/Subic Bay,12,Feb-14,,,,5106,7,0.0014,,,
Feb-14,,Fremantle/Portland,Jebel Ali/Kuwait/Muscat,28,Mar-14,,,,,,,79599,302,0.0038
Feb-14,,Adelaide/Fremantle,Doha/Khalifa/Kuwait,30,Mar-14,,,,690,0,0,91594,425,0.0046
