Departure Date,,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct,Buffalo Load,Buffalo Loss,Buffalo Pct
Dec-14,,Townsville,Jakarta/Panjang,10,Dec-14,16639,30,0.0018,,,,,,
Dec-14,,Portland,Novorossiysk,36,Jan-15,15788,55,0.0035,,,,,,
Dec-14,,Darwin,Ho Chi Minh,13,Dec-14,5411,6,0.0011,,,,,,
Dec-14,,Portland,Tianjin,20,Jan-15,10685,13,0.0012,,,,,,
Dec-14,,Townsville,Lotus Port,13,Jan-15,4241,4,0.0009,,,,,,
Dec-14,,Darwin,Jakarta,6,Dec-14,2001,0,0,,,,,,
Dec-14,,Darwin,Haiphong,12,Jan-15,1299,2,0.0015,,,,25,0,0
Dec-14,,Fremantle,Aqaba/Eilat,21,Jan-15,11914,10,0.0008,59827,254,0.0042,,,
Dec-14,,Darwin,Quy Nhon,12,Jan-15,3178,6,0.0019,,,,,,
Dec-14,,Fremantle,Bahrain/Doha/Muscat,20,Jan-15,150,0,0,76179,331,0.0043,,,
Jan-15,*,Brisbane,Shinmoji,19,Jan-15,1079,6,0.0056,,,,,,
Jan-15,,Geraldton,Ho Chi Minh,9,Jan-15,2077,0,0,,,,,,
Jan-15,,Darwin,Dong Nai,8,Jan-15,1240,3,0.0024,,,,,,
Jan-15,,Adelaide,Novorossiysk,28,Feb-15,15141,120,0.0079,,,,,,
Jan-15,,Portland,Eilat,22,Jan-15,4185,9,0.0022,,,,,,
Jan-15,,Fremantle,Ho Chi Minh,9,Jan-15,2638,3,0.0011,,,,,,
Jan-15,,Townsville,Haiphong,19,Jan-15,2126,1,0.0005,,,,,,
Jan-15,,Darwin,Haiphong,12,Jan-15,2509,8,0.0032,,,,,,
Jan-15,,Fremantle,Prachuap,14,Jan-15,1352,1,0.0007,,,,,,
Jan-15,,Townsville,Quy Nhon,12,Jan-15,3794,1,0.0003,,,,,,
Jan-15,,Darwin,Haiphong,15,Jan-15,1260,2,0.0016,,,,,,
Jan-15,,Townsville,Lotus Port,13,Jan-15,4310,3,0.0007,,,,,,
Jan-15,,Geelong,Zhenjiang,18,Feb-15,6100,6,0.001,,,,,,
Jan-15,,Portland,Tianjin,22,Feb-15,2446,6,0.0025,,,,,,
Jan-15,,Darwin,Bintulu/Muara/Pasir Gudang,15,Feb-15,1599,7,0.0044,,,,,,
Jan-15,,Darwin,Jakarta,8,Jan-15,2871,2,0.0007,,,,,,
Jan-15,,Townsville,Panjang,10,Feb-15,4103,0,0,,,,,,
Jan-15,,Fremantle,Haiphong,22,Feb-15,2028,19,0.0094,,,,,,
Jan-15,,Darwin,Thi Vai,8,Feb-15,1428,1,0.0007,,,,,,
Jan-15,,Townsville,Jakarta,10,Feb-15,2865,1,0.0003,,,,,,
Jan-15,,Darwin,Belawan/Jakarta,9,Feb-15,3803,0,0,,,,,,
Jan-15,,Adelaide/Fremantle, Haiphong/ Quy Nhon/Ho Chi Minh/Pasir Gudang,22,Feb-15,12867,10,0.0008,800,3,0.0038,,,
