Departure Date,,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Cattle Load,Cattle Loss,Cattle Pct,Buffalo Load,Buffalo Loss,Buffalo Pct,Sheep Load,Sheep Loss,Sheep Pct
Dec-15,,Adelaide,Bahrain/Jebel Ali/Karachi  /Kuwait/Muscat,31,Jan-16,906,0,0,,,,71756,576,0.008
Dec-15,,Fremantle,Hon La,14,Dec-15,3685,3,0.0008,,,,,,
Dec-15,,Brisbane,Shinmoji,19,Jan-16,1080,0,0,,,,,,
Dec-15,,Darwin,Haiphong,16,Jan-16,2123,8,0.0038,,,,,,
Dec-15,,Portland,Karachi/Shuwaikh,26,Jan-16,2507,7,0.0028,,,,,,
Dec-15,,Fremantle,Hamad/Jebel Ali/Khalifa Port/Kuwait,24,Jan-16,100,0,0,,,,71980,516,0.0072
Dec-15,,Geraldton,Qui Nhon,13,Jan-16,2872,0,0,,,,,,
Dec-15,,Darwin,Haiphong,14,Jan-16,1314,4,0.003,,,,,,
Dec-15,,Portland,Tianjin,19,Jan-16,2482,0,0,,,,,,
Dec-15,,Darwin,Jakarta/Panjang,10,Dec-15,17378,3,0.0002,,,,,,
Dec-15,,Darwin,Jakarta,9,Jan-16,4093,3,0.0007,,,,,,
Dec-15,,Fremantle,Hon La,15,Jan-16,2204,4,0.0018,,,,,,
Dec-15,,Fremantle,Haiphong,11,Jan-16,2238,2,0.0009,,,,,,
Jan-16,,Fremantle,Vung Ang,13,Jan-16,6096,6,0.001,,,,,,
Jan-16,,Fremantle,Pasir Gudang,11,Jan-16,2200,1,0.0005,,,,,,
Jan-16,,Townsville,Thi Vai,11,Jan-16,2847,5,0.0018,,,,,,
Jan-16,,Townsville,Haiphong,12,Jan-16,2792,3,0.0011,,,,,,
Jan-16,,Fremantle,Ho Chi Minh City,15,Jan-16,5610,3,0.0005,,,,,,
Jan-16,,Darwin,Jakarta,6,Jan-16,3167,2,0.0006,,,,,,
Jan-16,,Townsville,Haiphong,14,Jan-16,2023,3,0.0015,,,,,,
Jan-16,,Darwin/Townsville,Jakarta,13,Jan-16,6381,8,0.0013,,,,,,
Jan-16,,Darwin,Haiphong,11,Jan-16,1350,1,0.0007,,,,,,
Jan-16,,Geraldton,Ho Chi Minh City,9,Jan-16,2063,1,0.0005,,,,,,
Jan-16,,Fremantle,Mersin,27,Feb-16,6951,21,0.003,,,,,,
Jan-16,,Fremantle,Panjang,8,Jan-16,1886,0,0,,,,,,
Jan-16,,Fremantle,Ho Chi Minh/Jakarta /Panjang/Vung Áng,20,Feb-16,17659,50,0.0028,,,,,,
Jan-16,,Fremantle/Portland,Eilat /Novorossiysk,38,Feb-16,17507,75,0.0043,,,,5898,40,0.0068
Jan-16,,Darwin,Panjang,7,Jan-16,3082,1,0.0003,,,,,,
Jan-16,,Darwin,Jakarta,7,Jan-16,3086,1,0.0003,,,,,,
Jan-16,,Adelaide/Fremantle,Doha/Kuwait,26,Feb-16,100,0,0,,,,87635,329,0.0038
Jan-16,,Townsville,Cilacap,9,Feb-16,4000,0,0,,,,,,
Jan-16,,Brisbane,Shinmoji,18,Feb-16,1080,1,0.0009,,,,,,
Jan-16,,Darwin,Jakarta,6,Jan-16,3111,0,0,,,,,,
Jan-16,,Darwin,Belawan,10,Feb-16,2025,3,0.0015,,,,,,
Jan-16,,Townsville,Panjang,9,Feb-16,2887,1,0.0003,,,,,,
Jan-16,,Fremantle,Jakarta,8,Feb-16,2880,1,0.0003,,,,,,
