Departure Date,,Reportable Consignment,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Nov-16,,,Adelaide/Fremantle,Mersin,28,Dec-16,,,,12517,14,0.0011,,,
Dec-16,,,Fremantle/Portland,Tianjin,30,Jan-17,,,,5504,16,0.0029,,,
Dec-16,,,Darwin,Cilacap,6,Dec-16,,,,3811,0,0,,,
Dec-16,,,Darwin,Panjang,10,Dec-16,,,,2792,1,0.0004,,,
Dec-16,,,Geelong,Huanghua,18,Jan-17,,,,4190,2,0.0005,,,
Dec-16,,,Fremantle/Portland,Shuwaikh/Jebel Ali/Karachi,27,Jan-17,,,,2691,3,0.0011,7787,48,0.0062
Dec-16,,,Darwin/Fremantle,Jakarta/Nghi Son/Panjang,22,Jan-17,,,,16336,27,0.0017,,,
Dec-16,,,Brisbane,Shin-Moji,18,Jan-17,,,,1048,0,0,,,
Dec-16,,,Geraldton,Hai Phong,12,Jan-17,,,,1780,3,0.0017,,,
Dec-16,,,Fremantle,Hamad/Jebel Ali/Kuwait,26,Jan-17,,,,50,0,0,79282,583,0.0074
Dec-16,,,Townsville,Panjang,9,Dec-16,,,,2834,2,0.0007,,,
Dec-16,,,Darwin,Belawan,8,Dec-16,,,,3644,0,0,,,
Dec-16,,,Fremantle,Hai Phong/Jakarta/Panjang/Pasir Gudang,24,Jan-17,,,,8700,7,0.0008,2902,34,0.0117
Dec-16,,,Adelaide/Fremantle,Mersin,21,Jan-17,,,,6455,10,0.0015,,,
Dec-16,,,Darwin,Hai Phong,9,Jan-17,,,,2886,0,0,,,
Jan-17,,,Darwin,Hai Phong,9,Jan-17,,,,1206,1,0.0009,,,
Jan-17,,,Townsville,Jakarta/Long An,14,Jan-17,,,,5033,23,0.0046,,,
Jan-17,,,Townsville,Panjang,9,Jan-17,,,,2830,4,0.0014,,,
Jan-17,,,Townsville,Thi Vai,11,Jan-17,,,,2366,4,0.0017,,,
Jan-17,,,Geraldton,Hai Phong,11,Jan-17,,,,2023,1,0.0005,,,
Jan-17,,,Townsville,Tanjung Priok,8,Jan-17,,,,3628,1,0.0003,,,
Jan-17,,,Portland,Nghi Son,17,Jan-17,,,,1787,4,0.0022,,,
Jan-17,,,Darwin,Panjang,6,Jan-17,,,,3796,1,0.0003,,,
Jan-17,,,Darwin,Panjang,6,Jan-17,,,,3694,0,0,,,
Jan-17,,,Portland,Qinhuangdao,18,Feb-17,,,,6125,5,0.0008,,,
Jan-17,,,Fremantle,Hamad/Jebel Ali/Kuwait,23,Feb-17,,,,199,0,0,61595,176,0.0029
Jan-17,,,Townsville,Subic Bay,12,Feb-17,,,,1542,12,0.0078,,,
Jan-17,,,Brisbane,Shin-Moji,17,Feb-17,,,,1077,2,0.0019,,,
Jan-17,,,Townsville,Cua Lo,12,Feb-17,,,,1805,4,0.0022,,,
Jan-17,,,Townsville,Kumai,16,Feb-17,,,,2520,2,0.0008,,,
Jan-17,,,Fremantle,Cua Lo/Jakarta,17,Feb-17,,,,4945,6,0.0012,,,
Jan-17,,,Fremantle,Panjang,7,Feb-17,,,,3640,1,0.0003,,,
Jan-17,,,Darwin,Jakarta,5,Feb-17,,,,3577,2,0.0006,,,
Jan-17,,Yes,Geraldton,Muara/Pasir Gudang,12,Feb-17,,,,1456,8,0.0055,,,
Jan-17,,,Townsville,Jakarta/Panjang,10,Feb-17,,,,2900,2,0.0007,,,
Jan-17,,,Darwin/Townsville,Jakarta/Lotus/Panjang,19,Feb-17,400,0,0,13069,8,0.0006,,,
Feb-17,,,Portland,Karachi,18,Feb-17,,,,2415,3,0.0012,,,
Feb-17,,,Fremantle,Hamad/Shuwaikh,19,Feb-17,,,,,,,24741,93,0.0038
Feb-17,,,Portland,Shidao,17,Feb-17,,,,1195,4,0.0033,,,
Feb-17,,,Fremantle,Thi Vai,9,Feb-17,,,,2947,5,0.0017,,,
Feb-17,,,Portland,Dalian,18,Feb-17,,,,3280,2,0.0006,,,
Feb-17,,,Darwin,Panjang,6,Feb-17,,,,3657,0,0,,,
Feb-17,,,Adelaide/Fremantle,Hamad/Jebel Ali/Kuwait/Muscat,38,Mar-17,,,,50,0,0,81304,641,0.0079
Feb-17,,,Fremantle,Shuwaikh/Muscat,17,Mar-17,,,,,,,22209,62,0.0028
Feb-17,,,Fremantle,Aqaba/Eilat,22,Mar-17,,,,9782,17,0.0017,36857,145,0.0039
Feb-17,,,Darwin,Panjang,8,Feb-17,195,0,0,2709,1,0.0004,,,
Feb-17,,,Darwin,Jakarta,6,Feb-17,,,,3773,0,0,,,
Feb-17,,,Darwin,Jakarta,6,Mar-17,,,,1950,0,0,,,
Feb-17,,,Darwin,Panjang,5,Mar-17,,,,3730,2,0.0005,,,
Feb-17,,,Fremantle,Jakarta,8,Mar-17,,,,5285,5,0.0009,,,
Mar-17,,,Portland,Karachi,22,Mar-17,,,,1650,5,0.003,,,
Mar-17,,,Brisbane,Shin-Moji,17,Mar-17,,,,1080,5,0.0046,,,
Mar-17,,,Darwin,Panjang,5,Mar-17,,,,3878,3,0.0008,,,
Mar-17,,,Darwin,Panjang,6,Mar-17,,,,3584,0,0,,,
Mar-17,,,Darwin,Hai Phong,9,Mar-17,,,,2566,1,0.0004,,,
Mar-17,,,Townsville,Jakarta,10,Mar-17,,,,3834,2,0.0005,,,
Mar-17,,,Darwin,Belawan,8,Mar-17,,,,3740,1,0.0003,,,
Mar-17,,Yes,Fremantle,Hamad/Jebel Ali/Muscat/Shuwaikh,26,Apr-17,,,,250,0,0,61200,147,0.0024
Mar-17,,,Darwin,Belawan/Jakarta,11,Mar-17,,,,5524,3,0.0005,,,
Mar-17,,,Townsville,Jakarta/Panjang,12,Mar-17,,,,6494,6,0.0009,,,
Mar-17,,,Darwin,Belawan,9,Mar-17,,,,1950,5,0.0026,,,
Mar-17,,,Townsville,Jakarta,9,Mar-17,,,,6462,3,0.0005,,,
Mar-17,,,Darwin,Panjang/Pasir Gudang,8,Mar-17,,,,3393,3,0.0013,,,
Mar-17,,,Fremantle/Portland,Tianjin,23,Apr-17,,,,4212,8,0.0019,,,
Mar-17,,,Townsville,Jakarta,8,Mar-17,,,,3650,2,0.0005,,,
Mar-17,,,Townsville,Jakarta,10,Mar-17,,,,6378,1,0.0002,,,
Mar-17,,,Darwin,Jakarta,8,Mar-17,,,,2752,1,0.0004,,,
Mar-17,,,Darwin,Kumai,7,Mar-17,,,,2800,2,0.0007,,,
Mar-17,,,Adelaide/Fremantle,Hamad Port /Jebel Ali/Shuwaikh,26,Apr-17,,,,,,,67709,287,0.0042
Mar-17,,,Geelong,Tianjin,17,Apr-17,,,,4159,5,0.0012,,,
Mar-17,,,Townsville,Jakarta,8,Apr-17,,,,3773,0,0,,,
Mar-17,,,Townsville,Vung Ang,13,Apr-17,,,,3992,17,0.0043,,,
Apr-17,,,Townsville,Jakarta,8,Apr-17,,,,3547,0,0,,,
Apr-17,,,Fremantle,Muscat,15,Apr-17,,,,,,,12495,63,0.005
Apr-17,,,Darwin/Townsville,Jakarta,12,Apr-17,,,,5297,2,0.0004,,,
Apr-17,,,Darwin,Jakarta/Panjang,10,Apr-17,,,,6532,2,0.0003,,,
Apr-17,,,Darwin,Hai Phong,11,Apr-17,108,0,0,1597,0,0,,,
Apr-17,,,Brisbane,Shin-Moji,17,Apr-17,,,,1080,3,0.0028,,,
Apr-17,,,Darwin,Hai Phong,9,Apr-17,,,,1813,0,0,,,
Apr-17,,,Portland,Tianjin,18,Apr-17,,,,3079,6,0.0019,,,
Apr-17,,,Darwin,Belawan,9,Apr-17,,,,3160,2,0.0006,,,
Apr-17,,,Adelaide/Fremantle,Hamad/Jebel Ali/Kuwait,31,May-17,,,,50,0,0,84153,364,0.0043
Apr-17,,,Darwin,Jakarta/Panjang,5,Apr-17,,,,3725,0,0,,,
Apr-17,,,Darwin,Cai Cui,8,Apr-17,,,,1768,2,0.0011,,,
Apr-17,,,Darwin,Panjang,7,Apr-17,,,,2470,0,0,,,
Apr-17,,,Darwin,Panjang/Pasir Gudang,8,Apr-17,,,,3192,0,0,,,
Apr-17,,,Wyndham,Panjang,5,Apr-17,,,,2921,0,0,,,
Apr-17,,,Fremantle,Hamad/Jebel Ali/Shuwaikh/Port Sultan Qaboos,23,May-17,,,,250,0,0,74378,287,0.0039
Apr-17,,,Broome,Jakarta/Panjang,8,May-17,,,,2655,2,0.0008,,,
Apr-17,,,Darwin,Jakarta,5,Apr-17,,,,3502,1,0.0003,,,
Apr-17,,,Townsville,Cua Lo/Long An International,13,May-17,,,,4333,4,0.0009,,,
