Departure Date,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Nov-17,Townsville,Jakarta/Panjang,13,Dec-17,,,,6387,3,0.0005,,,
Dec-17,Fremantle/Portland,Hamad/Karachi/Kuwait/Muscat,31,Jan-18,,,,2607,13,0.005,77130,521,0.0068
Dec-17,Fremantle,Eilat,21,Jan-18,,,,3062,3,0.001,15260,145,0.0095
Dec-17,Fremantle,Kuwait,17,Jan-18,,,,,,,22315,319,0.0143
Dec-17,Fremantle/Portland,Tianjin,24,Jan-18,,,,10258,8,0.0008,,,
Dec-17,Townsville,Jakarta/Kumai,11,Dec-17,,,,2957,1,0.0003,,,
Dec-17,Fremantle,Nghi Son,13,Jan-18,,,,3076,3,0.001,,,
Dec-17,Portland,Dafeng,17,Jan-18,,,,2544,1,0.0004,,,
Dec-17,Fremantle,Hamad/Jebel Ali/Kuwait,21,Jan-18,,,,179,0,0,79224,486,0.0061
Dec-17,Darwin,Jakarta/Panjang,8,Dec-17,,,,1922,0,0,,,
Dec-17,Townsville,Thi Vai,13,Jan-18,,,,1708,3,0.0018,,,
Dec-17,Fremantle,Panjang,8,Jan-18,,,,2650,0,0,,,
Dec-17,Darwin/Fremantle,Jakarta/Panjang,16,Jan-18,,,,5540,1,0.0002,,,
Dec-17,Brisbane,Shin-Moji,17,Jan-18,,,,1470,0,0,,,
Dec-17,Darwin,Jakarta,8,Jan-18,,,,3579,1,0.0003,,,
Jan-18,Darwin,Jakarta,5,Jan-18,,,,3444,0,0,,,
Jan-18,Fremantle,Jakarta,9,Jan-18,,,,3262,4,0.0012,,,
Jan-18,Darwin,Haiphong,8,Jan-18,,,,2830,1,0.0004,,,
Jan-18,Fremantle,Huanghua,16,Jan-18,,,,2070,3,0.0014,,,
Jan-18,Darwin,Belawan,9,Jan-18,,,,2001,5,0.0025,,,
Jan-18,Darwin,Panjang,5,Jan-18,,,,3369,0,0,,,
Jan-18,Darwin,Jakarta,5,Jan-18,,,,3596,2,0.0006,,,
Jan-18,Townsville,Ningbo,13,Jan-18,,,,1606,2,0.0012,,,
Jan-18,Geraldton,Jakarta/Panjang,8,Jan-18,,,,2690,1,0.0004,,,
Jan-18,Darwin,Cilacap/Jakarta,8,Jan-18,,,,2031,1,0.0005,,,
Jan-18,Fremantle,Nghi Son,13,Feb-18,,,,3217,3,0.0009,,,
Jan-18,Darwin,Jakarta,5,Jan-18,,,,6195,7,0.0011,,,
Jan-18,Darwin,Jakarta,7,Jan-18,,,,2461,0,0,,,
Jan-18,Fremantle,Eilat,20,Feb-18,,,,4607,2,0.0004,9393,184,0.0196
Jan-18,Townsville,Cua Lo,13,Feb-18,,,,2072,5,0.0024,,,
Jan-18,Townsville,Cua Lo/Long An,17,Feb-18,,,,3795,8,0.0021,,,
Jan-18,Fremantle,Aqaba/Eilat,23,Feb-18,,,,2445,2,0.0008,15420,164,0.0106
Jan-18,Darwin/Fremantle,Haiphong,12,Feb-18,,,,2424,9,0.0037,,,
Jan-18,Darwin,Belawan,9,Feb-18,,,,1570,29,0.0185,,,
Jan-18,Darwin,Jakarta/Panjang,8,Feb-18,,,,3225,1,0.0003,,,
Jan-18,Fremantle,Thi Vai,9,Feb-18,,,,2674,1,0.0004,,,
Jan-18,Townsville,Jakarta,13,Feb-18,,,,2616,1,0.0004,,,
Jan-18,Fremantle,Hamad/Jebel Ali/Kuwait,22,Feb-18,,,,50,0,0,80638,361,0.0045
Feb-18,Darwin,Belawan/Port Klang,11,Feb-18,,,,2826,1,0.0004,,,
Feb-18,Fremantle/Portland,Novorossiysk,36,Mar-18,,,,13723,60,0.0044,16003,178,0.0111
Feb-18,Adelaide/Fremantle,Tekirdag,31,Mar-18,,,,8148,30,0.0037,72940,435,0.006
Feb-18,Darwin,Cilacap,5,Feb-18,,,,2031,0,0,,,
Feb-18,Darwin,Kumai,6,Feb-18,,,,2478,1,0.0004,,,
Feb-18,Townsville,Jakarta,11,Feb-18,,,,6480,4,0.0006,,,
Feb-18,Darwin,Jakarta,5,Feb-18,,,,3962,0,0,,,
Feb-18,Townsville,Panjang,10,Feb-18,,,,3750,2,0.0005,,,
Feb-18,Fremantle,Pasir Gudang,10,Feb-18,,,,1393,1,0.0007,4500,25,0.0056
Feb-18,Fremantle,Thi Vai,9,Feb-18,,,,2761,3,0.0011,,,
Feb-18,Townsville,Jakarta/Panjang,15,Mar-18,,,,3229,2,0.0006,,,
Feb-18,Darwin,Panjang,7,Mar-18,,,,3365,4,0.0012,,,
Feb-18,Darwin,Muara,7,Feb-18,,,,896,1,0.0011,,,
