Departure Date,,Exporter Licence Holder(s) (b),Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Jun-14,,Australian Rural Exports Pty Ltd/North Australian Cattle Company Pty Ltd/South East Asian Livestock Services Pty Ltd/Wellard Rural Exports Pty Ltd,Darwin,Jakarta,8,Jun-14,,,,7022,4,0.000569638,,,
Jun-14,,Wellard Rural Exports Pty Ltd,Fremantle,Aqaba/Eilat,22,Jul-14,,,,4543,17,0.003742021,50273,751,0.014938436
Jun-14,,International Livestock Export Pty Ltd/South East Asian Livestock Services Pty Ltd,Broome/Fremantle,Jakarta/Panjang,16,Jul-14,,,,11211,20,0.001783962,,,
Jun-14,,Australian Rural Exports Pty Ltd,Portland,Tianjin,22,Jul-14,,,,2662,5,0.001878287,,,
Jun-14,,Australian Rural Exports Pty Ltd/North Australian Cattle Company Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Jakarta,7,Jun-14,,,,6266,0,0,,,
Jun-14,,International Livestock Export Pty Ltd,Fremantle,Port Louis,11,Jul-14,,,,2000,0,0,,,
Jun-14,,North Australian Cattle Company Pty Ltd,Darwin,Haiphong,13,Jul-14,,,,2038,0,0,,,
Jun-14,,Emanuel Exports Pty Ltd/EMS Rural Exports Pty Ltd,Portland,Bahrain/Doha/Jebel Ali/Kuwait,30,Jul-14,,,,,,,71864,536,0.007458533
Jun-14,,Wellard Rural Exports Pty Ltd,Darwin,Panjang,10,Jul-14,,,,6688,6,0.000897129,,,
Jun-14,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,8,Jul-14,,,,1965,0,0,,,
Jun-14,,Australian Rural Exports Pty Ltd,Portland,Tianjin,19,Jul-14,,,,4040,1,0.000247525,,,
Jun-14,,Frontier International Northern Pty Ltd,Darwin,Jakarta,6,Jul-14,,,,3353,0,0,,,
Jun-14,,International Livestock Export Pty Ltd,Broome,Port Klang,9,Jul-14,,,,1532,0,0,,,
Jun-14,,Australian Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,9,Jul-14,,,,2917,1,0.000342818,,,
Jun-14,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,7,Jul-14,,,,2606,1,0.00038373,,,
Jun-14,,Livestock Shipping Services Pty Ltd,Broome/Fremantle,Adabiya,27,Jul-14,,,,10513,27,0.002568249,57770,603,0.010437944
Jun-14,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,12,Jul-14,,,,1935,0,0,,,
Jul-14,,Emanuel Exports Pty Ltd/EMS Rural Exports Pty Ltd,Adelaide/Fremantle,Bahrain/Doha/Jebel Ali/Muscat,27,Jul-14,,,,150,0,0,71358,578,0.008100003
Jul-14,,Wellard Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,10,Jul-14,,,,17026,1,5.87E-05,,,
Jul-14,,Landmark Global Exports Pty Ltd,Portland,Shidao,18,Jul-14,,,,2995,1,0.00033389,,,
Jul-14,,Edwards Livestock Company Pty Ltd/Elders International Australia Limited,Brisbane,Shinmoji,17,Jul-14,,,,960,2,0.002083333,,,
Jul-14,,South East Asian Livestock Services Pty Ltd,Darwin,Bintulu/Muara,8,Jul-14,65,1,0.015384615,1513,1,0.000660939,,,
Jul-14,,Landmark Global Exports Pty Ltd,Portland,Huanghua,19,Jul-14,,,,2944,8,0.002717391,,,
Jul-14,,Frontier International Northern Pty Ltd,Darwin,Jakarta/Panjang,7,Jul-14,,,,6729,0,0,,,
Jul-14,,Wellard Rural Exports Pty Ltd,Darwin,Lotus Port/Subic Bay,12,Jul-14,,,,4308,6,0.001392758,,,
Jul-14,,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,11,Jul-14,544,1,0.001838235,1831,3,0.001638449,,,
Jul-14,,South East Asian Livestock Services Pty Ltd,Darwin,Nha Trang,10,Jul-14,,,,1703,2,0.001174398,,,
Jul-14,,Wellard Rural Exports Pty Ltd,Darwin,Cua Lo/Lotus,17,Jul-14,,,,4985,24,0.004814443,,,
Jul-14,,Australian Rural Exports Pty Ltd,Darwin,Pasir Gudang,9,Jul-14,,,,2534,1,0.000394633,,,
Jul-14,,Halleen Australasian Livestock Traders Pty Ltd,Broome,Jakarta/Port Klang,8,Jul-14,,,,2123,3,0.001413095,,,
Jul-14,,North Australian Cattle Company Pty Ltd,Darwin,Panjang,6,Jul-14,,,,3756,0,0,,,
Jul-14,,International Livestock Export Pty Ltd,Broome,Port Klang,8,Jul-14,,,,1426,1,0.000701262,,,
Jul-14,,Livestock Shipping Services Pty Ltd,Adelaide/Fremantle,Doha/Kuwait,31,Aug-14,,,,50,0,0,82627,1091,0.013203916
Jul-14,,Emanuel Exports Pty Ltd,Fremantle,Kuwait,18,Aug-14,,,,,,,61832,337,0.005450252
Jul-14,,South East Asian Livestock Services Pty Ltd,Karumba,Dong Nai,17,Aug-14,,,,1406,0,0,,,
Jul-14,,South East Asian Livestock Services Pty Ltd,Darwin,Haipong,8,Aug-14,382,0,0,1043,1,0.000958773,,,
Jul-14,,International Livestock Export Pty Ltd,Broome,Pasir Gudang,8,Aug-14,,,,2519,4,0.001587932,,,
Jul-14,,Australian Rural Exports Pty Ltd/Wellard Rural Exports Pty Ltd,Townsville,Jakarta/Panjang,15,Aug-14,,,,16793,10,0.000595486,,,
Jul-14,,Frontier International Agri,Portland,Dalian,17,Aug-14,,,,6133,0,0,,,
Jul-14,,Australian Rural Exports Pty Ltd,Darwin,General Santos,6,Aug-14,,,,2744,0,0,,,
Jul-14,,North Australian Cattle Company Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Haipong,9,Aug-14,,,,2766,1,0.000361533,,,
Jul-14,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Ho Chi Minh City,9,Aug-14,,,,2142,1,0.000466853,,,
Aug-14,,Wellard Rural Exports Pty Ltd,Townsville,Cua Lo,13,Aug-14,,,,4819,6,0.001245072,,,
Aug-14,,International Livestock Export Pty Ltd,Broome,Jakarta,6,Aug-14,,,,1402,2,0.001426534,,,
Aug-14,,Australian Rural Exports Pty Ltd,Darwin,Jakarta,7,Aug-14,,,,2722,0,0,,,
Aug-14,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,7,Aug-14,,,,2980,0,0,,,
Aug-14,,Wellard Rural Exports Pty Ltd,Townsville,Lotus Port,13,Aug-14,,,,4013,2,0.00049838,,,
Aug-14,,Australian Rural Exports Pty Ltd,Portland,Lianyungang,18,Aug-14,,,,4000,3,0.00075,,,
Aug-14,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,10,Aug-14,,,,2008,0,0,,,
Aug-14,,Emanuel Exports Pty Ltd,Fremantle,Bahrain/Jebel Ali/Kuwait/Muscat,22,Aug-14,,,,,,,66395,359,0.005407034
Aug-14,,Australian Rural Exports Pty Ltd,Darwin,Jakarta,6,Aug-14,,,,2608,1,0.000383436,,,
Aug-14,,Wellard Rural Exports Pty Ltd,Darwin,Lotus/Subic Bay,11,Aug-14,,,,4992,4,0.000801282,,,
Aug-14,,Edwards Livestock Company Pty Ltd/Elders International Australia Limited,Brisbane,Shinmoji,17,Aug-14,,,,960,3,0.003125,,,
Aug-14,,International Livestock Export Pty Ltd,Darwin,Jakarta,13,Aug-14,,,,3300,2,0.000606061,,,
Aug-14,,South East Asian Livestock Services Pty Ltd,Darwin,Haipong,9,Aug-14,427,3,0.007025761,984,2,0.00203252,,,
Aug-14,,International Livestock Export Pty Ltd,Broome,Jakarta,7,Aug-14,,,,2113,4,0.001893043,,,
Aug-14,,International Livestock Export Pty Ltd,Broome,Port Klang,9,Aug-14,,,,1675,1,0.000597015,,,
