Departure Date,Exporter Licence Holder(s),Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct,Buffalo Load,Buffalo Loss,Buffalo Pct
Jun-15,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Prachuap,8,Jun-15,2250,1,0.000444444,,,,,,
Jun-15,Wellard Rural Exports Pty Ltd,Townsville,Ho Chi Minh City/Jakarta/Panjang,18,Jul-15,19193,16,0.000833637,,,,,,
Jun-15,Emanuel Exports Pty Ltd/EMS Rural Exports Pty Ltd,Fremantle/Portland,Bahrain/Jebel Ali/Kuwait/Muscat,26,Jul-15,,,,73121,478,0.00653711,,,
Jun-15,South East Asian Livestock Services Pty Ltd,Darwin,Cilacap,5,Jun-15,2089,0,0,,,,,,
Jun-15,Edwards Livestock Company Pty Ltd/Elders International Australia Limited,Brisbane,Shinmoji,17,Jul-15,960,2,0.002083333,,,,,,
Jun-15,Australian Rural Exports Pty Ltd/North Australian Cattle Company Pty Ltd,Darwin,Panjang,7,Jun-15,3114,0,0,,,,,,
Jun-15,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,5,Jun-15,2900,0,0,,,,,,
Jun-15,Australian Rural Exports Pty Ltd,Wyndham,Panjang,8,Jul-15,2748,0,0,,,,,,
Jun-15,Frontier International Northern  Pty Ltd/Halleen Australasian Livestock Traders Pty Ltd/International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Panjang/Tanjung Priok,11,Jul-15,16377,20,0.001221225,,,,,,
Jun-15,Australian Rural Exports Pty Ltd,Townsville,Jakarta,9,Jul-15,2294,2,0.00087184,,,,,,
Jun-15,Wellard Rural Exports Pty Ltd,Portland,Hambantota,15,Jul-15,1181,0,0,,,,,,
Jun-15,North Australian Cattle Company Pty Ltd,Darwin,Go Dau,8,Jul-15,2990,1,0.000334448,,,,,,
Jun-15,South East Asian Livestock Services Pty Ltd,Darwin,Bintulu/Pasir Gudang,9,Jul-15,1806,2,0.00110742,,,,,,
Jun-15,Frontier International Northern  Pty Ltd,Darwin,Haiphong,11,Jul-15,2305,1,0.000433839,,,,,,
Jun-15,International Livestock Export Pty Ltd,Broome,Klang,9,Jul-15,2123,7,0.003297221,,,,,,
Jul-15,Landmark Global Exports Pty Ltd,Portland,Qinhuangdao,15,Jul-15,3940,1,0.000253807,,,,,,
Jul-15,Emanuel Exports Pty Ltd/Lembiru Livestock Pty Ltd,Fremantle,Bahrain/Jebel Ali/Kuwait,21,Jul-15,,,,71804,420,0.005849256,,,
Jul-15,Australian Rural Exports Pty Ltd,Broome,Qui Nhon,9,Jul-15,4198,1,0.000238209,,,,,,
Jul-15,Australian Rural Exports Pty Ltd,Darwin,Qui Nhon,9,Jul-15,4066,1,0.000245942,,,,,,
Jul-15,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Klang/Lumut,10,Jul-15,2095,1,0.000477327,,,,,,
Jul-15,South East Asian Livestock Services Pty Ltd,Darwin,Thi Vai,9,Jul-15,1284,0,0,,,,192,0,0
Jul-15,Wellard Rural Exports Pty Ltd,Darwin,Ho Chi Minh City,7,Jul-15,6437,2,0.000310704,,,,,,
Jul-15,Livestock Shipping Services Pty Ltd,Broome/Fremantle,Al Adabiyah,26,Aug-15,17516,52,0.002968714,7683,67,0.008720552,,,
Jul-15,International Livestock Export Pty Ltd,Darwin,Klang,12,Jul-15,1532,0,0,,,,,,
Jul-15,Australian Rural Exports Pty Ltd,Darwin,Pasir Gudang,7,Jul-15,2253,3,0.001331558,,,,,,
Jul-15,International Livestock Export Pty Ltd,Broome,Qui Nhon,7,Jul-15,6750,5,0.000740741,,,,,,
Jul-15,South East Asian Livestock Services Pty Ltd,Darwin,Pasir Gudang,9,Jul-15,1650,0,0,,,,,,
Jul-15,Australian Rural Exports Pty Ltd,Wyndham,Panjang,7,Jul-15,3069,0,0,,,,,,
Jul-15,North Australian Cattle Company Pty Ltd,Townsville,Go Dau,10,Jul-15,2580,2,0.000775194,,,,,,
Jul-15,Frontier International Northern  Pty Ltd,Darwin,Jakarta,7,Jul-15,3214,0,0,,,,,,
Jul-15,Frontier International Northern  Pty Ltd,Darwin,Haiphong,12,Jul-15,2194,2,0.000911577,,,,,,
Jul-15,Australian Rural Exports Pty Ltd,Darwin,Panjang,7,Jul-15,3883,0,0,,,,,,
Jul-15,Wellard Rural Exports Pty Ltd,Townsville,Jakarta/Lotus/Panjang/Vung Ang,25,Aug-15,17515,48,0.002740508,,,,941,4,0.004250797
Jul-15,North Australian Cattle Company Pty Ltd,Townsville,Qui Nhon,12,Aug-15,2904,4,0.00137741,,,,,,
Jul-15,Australian Rural Exports Pty Ltd,Portland,Weifang,18,Aug-15,3792,4,0.001054852,,,,,,
Jul-15,Edwards Livestock Company Pty Ltd/Elders International Australia Limited,Brisbane,Shinmoji,17,Aug-15,960,2,0.002083333,,,,,,
Jul-15,Australian Rural Exports Pty Ltd/North Australian Cattle Company Pty Ltd,Darwin,Belawan/Panjang,10,Aug-15,2849,0,0,,,,,,
Jul-15,Livestock Shipping Services Pty Ltd,Fremantle,Doha/Khalifa/Kuwait,23,Aug-15,100,0,0,83915,676,0.008055771,,,
Jul-15,Frontier International Northern  Pty Ltd,Darwin,Haiphong,8,Aug-15,2469,4,0.001620089,,,,,,
Jul-15,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,9,Aug-15,2010,0,0,,,,,,
Jul-15,South East Asian Livestock Services Pty Ltd,Darwin,Belawan/Jakarta/Panjang,5,Aug-15,1782,2,0.001122334,,,,,,
Jul-15,Wellard Rural Exports Pty Ltd,Townsville,Culao/Qui Nhon,14,Aug-15,6050,15,0.002479339,,,,,,
Jul-15,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Ho Chi Minh City,8,Aug-15,2268,0,0,,,,,,
Jul-15,Otway LIvestock Exports Pty Ltd,Adelaide/Fremantle,Eilat,24,Aug-15,13844,35,0.002528171,7337,15,0.002044432,,,
Jul-15,Australian Rural Exports Pty Ltd,Darwin,Jakarta,8,Aug-15,2987,0,0,,,,,,
Jul-15,International Livestock Export Pty Ltd,Broome,Klang,9,Aug-15,1436,7,0.004874652,,,,,,
Aug-15,International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd,Darwin/Fremantle,Tanjung Priok,13,Aug-15,6874,1,0.000145476,,,,,,
Aug-15,Frontier International Agri,Adelaide,Xiamen,17,Aug-15,3200,4,0.00125,,,,,,
Aug-15,Wellard Rural Exports Pty Ltd,Portland,Dalian,18,Aug-15,2461,2,0.000812678,,,,,,
Aug-15,Emanuel Exports Pty Ltd,Fremantle,Bahrain/Jebel Ali/Kuwait/Muscat,21,Aug-15,,,,71677,1253,0.0174812,,,
Aug-15,International Livestock Export Pty Ltd,Darwin,Tanjung Priok,7,Aug-15,2905,0,0,,,,,,
Aug-15,Australian Rural Exports Pty Ltd,Broome,Qui Nhon,8,Aug-15,3999,2,0.000500125,,,,,,
Aug-15,Vicstock Pty Limited,Portland,Tianjin,19,Sep-15,6057,3,0.000495295,,,,,,
Aug-15,North Australian Cattle Company Pty Ltd,Darwin,Thi Vai,11,Aug-15,2594,0,0,,,,,,
Aug-15,Frontier International Northern  Pty Ltd,Darwin,Haiphong,11,Aug-15,2090,3,0.001435407,,,,,,
Aug-15,South East Asian Livestock Services Pty Ltd,Darwin,Bangkok,10,Aug-15,1599,0,0,,,,,,
Aug-15,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta/Klang,10,Aug-15,2622,1,0.000381388,,,,,,
Aug-15,Australian Rural Exports Pty Ltd,Darwin,Subic Bay,7,Aug-15,2190,6,0.002739726,,,,,,
Aug-15,International Livestock Export Pty Ltd,Broome,Klang/Panjang,10,Aug-15,2760,4,0.001449275,,,,,,
Aug-15,Total Livestock Genetics Pty Ltd,Portland,Tianjin,18,Sep-15,4450,2,0.000449438,,,,,,
Aug-15,Australian Rural Exports Pty Ltd,Darwin,Panjang,8,Aug-15,2997,1,0.000333667,,,,,,
Aug-15,Frontier International Northern  Pty Ltd,Darwin,Jakarta,4,Aug-15,3603,0,0,,,,,,
Aug-15,South East Asian Livestock Services Pty Ltd,Darwin,Muara,8,Aug-15,920,2,0.002173913,,,,525,0,0
Aug-15,International Livestock Export Pty Ltd,Fremantle,Klang,11,Sep-15,81,0,0,5558,93,0.016732638,,,
Aug-15,Australian Rural Exports Pty Ltd,Darwin,Qui Nhon,9,Sep-15,4102,2,0.000487567,,,,,,
Aug-15,Frontier International Northern  Pty Ltd,Darwin,Thi Vai,10,Sep-15,2167,2,0.000922935,,,,,,
Aug-15,Phoenix Exports Pty Ltd,Geelong,Tianjin,18,Sep-15,5316,8,0.001504891,,,,,,
Aug-15,International Livestock Export Pty Ltd,Broome,Jakarta/Pasir Gudang/Port Klang,13,Sep-15,7994,0,0,,,,,,
Aug-15,Livestock Shipping Services Pty Ltd/Wellard Rural Exports Pty Ltd,Fremantle,Ad Dawhah/Khalifa/Port Sultan Qaboos,14,Sep-15,100,0,0,74806,701,0.009370906,,,
Aug-15,Edwards Livestock Company Pty Ltd/Elders International Australia Limited,Brisbane,Shinmoji,17,Sep-15,960,2,0.002083333,,,,,,
Aug-15,Landmark Global Exports Pty Ltd,Portland,Tianjin,16,Sep-15,4020,2,0.000497512,,,,,,
Sep-15,Emanuel Exports Pty Ltd,Fremantle,Bahrain/Jebel Ali/Kuwait/Muscat,21,Sep-15,,,,68012,374,0.00549903,,,
Sep-15,Elders International Australia Limited,Portland,Jingtang,18,Sep-15,3311,1,0.000302024,,,,,,
Sep-15,Wellard Rural Exports Pty Ltd,Darwin,Jakarta/Panjang/Subic Bay,14,Sep-15,4744,11,0.002318718,,,,,,
Sep-15,North Australian Cattle Company Pty Ltd,Townsville,Go Dau,12,Sep-15,2142,3,0.00140056,,,,,,
Sep-15,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,10,Sep-15,1201,0,0,,,,,,
Sep-15,Australian Rural Exports Pty Ltd/Frontier International Northern  Pty Ltd,Darwin,Jakarta/Panjang,7,Sep-15,2603,1,0.000384172,,,,,,
Sep-15,Wellard Rural Exports Pty Ltd,Darwin/Townsville,Phu Huu/Vung Ang,16,Sep-15,12793,48,0.003752052,,,,503,0,0
Sep-15,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,5,Sep-15,2084,5,0.002399232,,,,,,
Sep-15,Frontier International Northern  Pty Ltd,Darwin,Haiphong,12,Sep-15,2352,8,0.003401361,,,,,,
Sep-15,Australian Rural Exports Pty Ltd,Darwin,Qui Nhon,10,Sep-15,4029,3,0.000744602,,,,,,
Sep-15,Frontier International Agri,Portland,Qui Nhon,22,Oct-15,2100,5,0.002380952,,,,,,
Sep-15,Livestock Shipping Services Pty Ltd,Fremantle,Aqaba/Eilat,22,Oct-15,11459,25,0.002181691,49035,297,0.006056898,,,
Sep-15,Wellard Rural Exports Pty Ltd,Townsville,Culao/Ho Chi Minh City,16,Oct-15,4071,10,0.002456399,,,,,,
Sep-15,Australian Rural Exports Pty Ltd,Portland,Lianyungang,16,Oct-15,4176,2,0.000478927,,,,,,
Sep-15,Australian Rural Exports Pty Ltd,Geraldton,Jakarta,8,Sep-15,2081,0,0,,,,,,
Sep-15,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,12,Sep-15,1060,3,0.002830189,,,,248,0,0
Sep-15,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Bahrain/Jebel Ali/kuwait/Muscat,21,Oct-15,,,,70810,359,0.005069905,,,
Sep-15,International Livestock Export Pty Ltd,Karumba,Belawan/Klang,16,Oct-15,1794,0,0,,,,,,
Sep-15,Livestock Shipping Services Pty Ltd,Adelaide,Doha/Kuwait,27,Oct-15,,,,90732,464,0.005113962,,,
Sep-15,Australian Rural Exports Pty Ltd,Broome,Subic Bay,7,Oct-15,3107,7,0.002252977,,,,,,
