Departure Date,,Exporter Licence Holder(s) b,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Apr-16,*,Landmark Operations Pty Ltd,Portland,Mazatlan,26,May-16,,,,6677,153,0.022914483,,,
May-16,,South East Asian Livestock Services Pty Ltd,Darwin,Thi Vai,8,May-16,182,1,0.005494505,1506,,,,,
May-16,,International Livestock Export Pty Ltd,Broome/Fremantle,Jakarta/Panjang/Pasir Gudang/Port Klang,27,Jun-16,,,,14257,,,,,
Jun-16,,Fares Rural Exports Pty Ltd/International Livestock Export Pty Ltd,Adelaide/Fremantle,Beirut/Mersin,29,Jul-16,,,,10807,23,0.00212825,11987,35,0.00291983
Jun-16,,Landmark Operations Pty Ltd/Livestock Shipping Services Pty Ltd,Adelaide/Fremantle,Aqaba/Eilat,23,Jul-16,,,,8531,56,0.006564295,40709,488,0.011987521
Jun-16,,Emanuel Exports Pty Ltd,Fremantle,Hamad/Kuwait/Muscat,20,Jun-16,,,,50,,,62028,323,0.005207326
Jun-16,,Vicstock Pty Limited,Portland,Huanghua,19,Jul-16,,,,5610,2,0.000356506,,,
Jun-16,,South East Asian Livestock Services Pty Ltd,Darwin,Cilacap,5,Jun-16,,,,2048,3,0.001464844,,,
Jun-16,,Wellard Rural Exports Pty Ltd,Fremantle,Eilat,17,Jul-16,,,,2942,1,0.000339905,8000,16,0.002
Jun-16,,South East Asian Livestock Services Pty Ltd,Darwin,Bangkok,9,Jul-16,,,,1461,4,0.002737851,,,
Jun-16,,Wellard Rural Exports Pty Ltd,Broome,Jakarta,6,Jun-16,,,,7661,3,0.000391594,,,
Jun-16,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,9,Jul-16,,,,1950,1,0.000512821,,,
Jun-16,,North Australian Cattle Company Pty Ltd,Darwin,Nghi Son,10,Jul-16,,,,2693,1,0.000371333,,,
Jun-16,,Australian Rural Exports Pty Ltd,Darwin,Subic Bay,7,Jul-16,,,,2954,4,0.001354096,,,
Jun-16,,Australian Rural Exports Pty Ltd/North Australian Cattle Company Pty Ltd,Darwin,Panjang,6,Jul-16,,,,3914,1,0.000255493,,,
Jun-16,,Wellard Rural Exports Pty Ltd,Townsville,Lotus Port,14,Jul-16,,,,4143,12,0.002896452,,,
Jun-16,,Wellard Rural Exports Pty Ltd,Darwin,Ho Chi Minh,9,Jul-16,,,,2780,2,0.000719424,,,
Jul-16,,Livestock Shipping Services Pty Ltd/Otway LIvestock Exports Pty Ltd,Fremantle,Aqaba/Eilat,23,Jul-16,,,,9723,33,0.003394014,47751,362,0.007580993
Jul-16,,North Australian Cattle Company Pty Ltd,Townsville,Thi Vai,9,Jul-16,,,,2455,8,0.003258656,,,
Jul-16,* #1,Emanuel Exports Pty Ltd,Fremantle,Hamad/Jebel Ali/Muscat/Shuwaikh,25,Jul-16,,,,,,,69322,1741,0.0251
Jul-16,,South East Asian Livestock Services Pty Ltd,Darwin,Belawan,9,Jul-16,,,,1997,,,,,
Jul-16,,Australian Rural Exports Pty Ltd,Darwin,Belawan/Jakarta,13,Jul-16,,,,2833,,,,,
Jul-16,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,6,Jul-16,,,,3034,,,,,
Jul-16,,International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd,Fremantle,Jakarta/Panjang/Quy Nhon,20,Jul-16,,,,12352,7,0.00056671,,,
Jul-16,,Australian Rural Exports Pty Ltd,Broome,Panjang,5,Jul-16,,,,4002,2,0.00049975,,,
Jul-16,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,5,Jul-16,,,,3779,,,,,
Jul-16,,South East Asian Livestock Services Pty Ltd,Darwin,Bintulu/Muara,10,Jul-16,100,,,1520,,,,,
Jul-16,,Australian Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,6,Jul-16,,,,3782,,,,,
Jul-16,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Port Klang,9,Jul-16,,,,2224,3,0.001348921,,,
Jul-16,,Australasian Global Exports Pty Ltd,Portland,Tangshan,14,Aug-16,,,,3903,3,0.00076864,,,
Jul-16,,North Australian Cattle Company Pty Ltd,Darwin,Port Klang,9,Jul-16,,,,2423,4,0.001650846,,,
Jul-16,,Wellard Rural Exports Pty Ltd,Darwin,Jakarta,4,Jul-16,,,,3782,1,0.00026441,,,
