Departure Date,,Exporter Licence Holder(s)b,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Cattle Load,Cattle Loss,Cattle Pct,Buffalo Load,Buffalo Loss,Buffalo Pct,Sheep Load,Sheep Loss,Sheep Pct
Jun-17,,Livestock Shipping Services Pty Ltd,Fremantle,Aqaba/Eilat,21,Jul-17,4998,8,0.00160064,,,,53845,330,0.006128703
Jun-17,,Breedex Australia Pty Ltd,Geelong,Tianjin,22,Jul-17,1973,1,0.000506842,,,,,,
Jun-17,,Australian Rural Exports Pty Ltd/Edwards Livestock Company Pty Ltd,Brisbane,Shinmoji,17,Jul-17,960,0,0,,,,,,
Jun-17,,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Hamad/Jebel Ali/Shuwaikh,23,Jul-17,,,,,,,63381,801,0.012637857
Jun-17,,Frontier International Northern  Pty Ltd,Darwin,Haiphong,9,Jul-17,2661,2,0.0007,,,,,,
Jun-17,,Australian Rural Exports Pty Ltd,Darwin,Belawan/Panjang,10,Jul-17,3737,0,0,,,,,,
Jun-17,,South East Asian Livestock Services Pty Ltd,Darwin,Bintulu/Muara,7,Jul-17,1684,1,0.000593824,40,0,0,,,
Jun-17,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,5,Jul-17,3946,0,0,,,,,,
Jun-17,,Australasian Global Exports Pty Ltd,Geelong,Tangshan,17,Jul-17,4000,5,0.0012,,,,,,
Jul-17,,Australian Rural Exports Pty Ltd,Portland,Tianjin,18,Jul-17,6555,7,0.001067887,,,,,,
Jul-17,,Frontier International Northern  Pty Ltd,Broome,Thi Vai,9,Jul-17,3350,4,0.0011,,,,,,
Jul-17,,Landmark Operations Pty Ltd,Geelong,Tianjin,18,Jul-17,6651,9,0.0014,,,,,,
Jul-17,,South East Asian Livestock Services Pty Ltd,Darwin,Hon La,11,Jul-17,577,0,0,913,0,0,,,
Jul-17,,Wellard Rural Exports Pty Ltd,Townsville,Cua Lo/Long An,17,Jul-17,4208,5,0.001188213,,,,,,
Jul-17,,Emanuel Exports Pty Ltd,Fremantle,Hamad/Jebel Ali/Kuwait,23,Jul-17,200,2,0.01,,,,63056,527,0.00835765
Jul-17,,Frontier International Northern  Pty Ltd,Fremantle,Haiphong,12,Jul-17,2402,1,0.00041632,,,,,,
Jul-17,,North Australian Cattle Company Pty Ltd,Darwin,Pasir Gudang,7,Jul-17,2719,2,0.000735565,576,1,0.001736111,,,
Jul-17,,International Livestock Export Pty Ltd,Broome,Indonesia,7,Jul-17,3058,6,0.001962067,,,,,,
Jul-17,,Australian Rural Exports Pty Ltd,Wyndham,Panjang,6,Jul-17,2901,0,0,90,0,0,,,
Jul-17,,South East Asian Livestock Services Pty Ltd,Darwin,Sabah,6,Jul-17,1500,0,0,,,,,,
Jul-17,,Phoenix Exports Pty Ltd,Broome,Nghi Son,11,Jul-17,3725,34,0.009127517,,,,,,
Jul-17,,International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd,Broome,Panjang,5,Jul-17,3703,1,0.000270051,,,,,,
Jul-17,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,6,Jul-17,3803,0,0,,,,,,
Jul-17,,South East Asian Livestock Services Pty Ltd,Karumba,Belawan,12,Aug-17,1850,1,0.000540541,,,,,,
Jul-17,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,5,Jul-17,3834,0,0,,,,,,
Jul-17,,Emanuel Exports Pty Ltd,Fremantle,Shuwaikh,18,Aug-17,,,,,,,23617,393,0.016640556
Jul-17,,North Australian Cattle Company Pty Ltd,Townsville,Thi Vai,10,Aug-17,2519,8,0.0031,,,,,,
Jul-17,,Halleen Australasian Livestock Traders Pty Ltd/North Australian Cattle Company Pty Ltd,Darwin,Jakarta,6,Aug-17,3923,0,0,,,,,,
Jul-17,,Australian Rural Exports Pty Ltd,Broome,Cilacap,4,Aug-17,3000,0,0,,,,,,
Jul-17,,Australian Rural Exports Pty Ltd,Darwin,Hon La,8,Aug-17,1374,0,0,922,4,0.004338395,,,
Jul-17,,Australian Rural Exports Pty Ltd/Edwards Livestock Company Pty Ltd,Brisbane,Shinmoji,17,Aug-17,960,0,0,,,,,,
Aug-17,*,Emanuel Exports Pty Ltd,Fremantle,Al Shuwaikh/Jebel Ali/Port Hamad,23,Aug-17,50,0,0,,,,63804,2400,0.037615197
Aug-17,,North Australian Cattle Company Pty Ltd,Townsville,Jakarta,11,Aug-17,3393,1,0.000294724,,,,,,
Aug-17,,Wellard Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,11,Aug-17,5938,3,0.000505221,,,,,,
Aug-17,,Livestock Shipping Services Pty Ltd,Adelaide/Fremantle,Tekirdag,33,Sep-17,,,,,,,78303,354,0.0045209
Aug-17,,Australian Rural Exports Pty Ltd,Townsville,Jakarta,9,Aug-17,3073,1,0.000325415,,,,,,
Aug-17,,Wellard Rural Exports Pty Ltd,Broome,Panjang,4,Aug-17,3788,0,0,,,,,,
Aug-17,,South East Asian Livestock Services Pty Ltd,Darwin,Jakarta,6,Aug-17,2000,2,0.001,,,,,,
Aug-17,,Livestock Shipping Services Pty Ltd,Townsville,Cilacap/Jakarta,12,Aug-17,6205,1,0.0003,,,,,,
Aug-17,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,5,Aug-17,3706,0,0,,,,,,
Aug-17,,International Livestock Export Pty Ltd,Broome,Panjang,6,Aug-17,3585,3,0.00083682,,,,,,
Aug-17,,Otway LIvestock Exports Pty Ltd,Fremantle,Eilat,20,Aug-17,5998,18,0.003001,,,,,,
Aug-17,,South East Asian Livestock Services Pty Ltd,Darwin,Muara/Port Klang,7,Aug-17,419,0,0,148,0,0,,,
Aug-17,,Phoenix Exports Pty Ltd,Fremantle,Muscat,16,Aug-17,,,,,,,15698,134,0.008536119
Aug-17,,South East Asian Livestock Services Pty Ltd,Darwin,Jakarta,6,Aug-17,1866,1,0.000535906,,,,,,
Aug-17,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,5,Aug-17,3796,2,0.00052687,,,,,,
Aug-17,,Frontier International Northern  Pty Ltd,Darwin,Haiphong,9,Aug-17,2542,3,0.001180173,,,,,,
Aug-17,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,5,Aug-17,3332,0,0,,,,,,
Aug-17,,Emanuel Exports Pty Ltd,Fremantle,Hamad/Jebel Ali/Kuwait,23,Sep-17,,,,,,,59536,385,0.006466676
Aug-17,,Wellard Rural Exports Pty Ltd,Darwin/Fremantle/Wyndham,Jakarta/Medan/Panjang,22,Sep-17,18171,3,0.000165098,,,,,,
Aug-17,,Australian Rural Exports Pty Ltd,Darwin,Jakarta,5,Aug-17,2619,0,0,,,,,,
Aug-17,,International Livestock Export Pty Ltd,Fremantle,Jakarta,8,Sep-17,2736,0,0,,,,,,
Aug-17,,Livestock Shipping Services Pty Ltd,Townsville,Jakarta/Panjang,12,Sep-17,6323,1,0.000158153,,,,,,
Aug-17,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,5,Sep-17,3781,1,0.0002,,,,,,
Aug-17,,Frontier International Northern  Pty Ltd,Darwin,Haiphong,10,Sep-17,2304,21,0.009114583,133,0,0,,,
Aug-17,,Australian Rural Exports Pty Ltd/North Australian Cattle Company Pty Ltd,Darwin,Panjang,6,Sep-17,2904,0,0,,,,,,
Sep-17,,Australian Rural Exports Pty Ltd/Edwards Livestock Company Pty Ltd/Otway LIvestock Exports Pty Ltd,Brisbane,Kobe/Shin Moji,15,Sep-17,2040,1,0.000490196,,,,,,
Sep-17,,South East Asian Livestock Services Pty Ltd,Darwin,Muara,9,Sep-17,767,2,0.002607562,,,,,,
Sep-17,,Australian Rural Exports Pty Ltd,Port Hedland,Belawan,6,Sep-17,2014,0,0,,,,,,
Sep-17,,Wellard Rural Exports Pty Ltd,Townsville,Cua Lo/Long An,16,Sep-17,4491,0,0,,,,,,
Sep-17,,International Livestock Export Pty Ltd,Darwin,Belawan,8,Sep-17,2720,0,0,,,,,,
Sep-17,,Frontier International Northern  Pty Ltd,Broome,Jakarta,7,Sep-17,2520,0,0,,,,,,
Sep-17,,Australian Rural Exports Pty Ltd,Broome,Panjang,7,Sep-17,3781,1,0.00026448,,,,,,
Sep-17,,South East Asian Livestock Services Pty Ltd,Darwin,Belawan,9,Sep-17,1246,0,0,499,2,0.004008016,,,
Sep-17,,International Livestock Export Pty Ltd,Broome,Panjang,4,Sep-17,3754,0,0,,,,,,
Sep-17,,International Livestock Export Pty Ltd,Darwin,Panjang,8,Sep-17,3035,1,0.000329489,,,,,,
Sep-17,,Emanuel Exports Pty Ltd,Fremantle,Al Shuwaikh/Jebel Ali/Port Hamad,21,Oct-17,50,0,0,,,,59823,310,0.005181953
Sep-17,,Australian Rural Exports Pty Ltd,Townsville,Jakarta/Panjang,10,Sep-17,3707,0,0,,,,,,
Sep-17,,Livestock Shipping Services Pty Ltd,Townsville,Jakarta/Panjang,8,Sep-17,5749,9,0.00156549,,,,,,
Sep-17,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,5,Sep-17,3881,0,0,,,,,,
Sep-17,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,5,Sep-17,3665,1,0.0002,,,,,,
Sep-17,,Livestock Shipping Services Pty Ltd,Townsville,Jakarta/Panjang,12,Oct-17,6286,3,0.000477251,,,,,,
Sep-17,,Wellard Rural Exports Pty Ltd,Broome/Darwin,Jakarta/Medan/Panjang,18,Oct-17,17342,47,0.002710183,,,,,,
Sep-17,,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Hamad/Jebel Ali/Kuwait/Muscat,24,Oct-17,250,0,0,,,,78057,659,0.008442548
Sep-17,,Wellard Rural Exports Pty Ltd,Townsville,Long An,13,Oct-17,3839,6,0.001562907,,,,,,
Sep-17,,Australasian Global Exports Pty Ltd,Portland,Surabaya,10,Oct-17,2128,2,0.00093985,,,,,,
Sep-17,,International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd,Broome,Jakarta/Panjang,7,Oct-17,2782,5,0.001797268,,,,,,
Sep-17,*,Frontier International Northern  Pty Ltd,Darwin,Haiphong,8,Oct-17,2167,3,0.001384402,207,6,0.0289,,,
Sep-17,,North Australian Cattle Company Pty Ltd,Darwin,Pasir Gudang,7,Oct-17,1890,1,0.000529101,849,4,0.004711425,,,
Oct-17,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Port Klang,9,Oct-17,1693,5,0.0029,,,,,,
Oct-17,,South East Asian Livestock Services Pty Ltd,Darwin,Cilacap,5,Oct-17,2050,1,0.000487805,,,,,,
Oct-17,,Frontier International Northern  Pty Ltd,Darwin,Panjang,5,Oct-17,3534,2,0.0005,,,,,,
Oct-17,,North Australian Cattle Company Pty Ltd,Townsville,Haiphong,13,Oct-17,2360,8,0.003389831,,,,,,
Oct-17,,Livestock Shipping Services Pty Ltd,Fremantle,Mersin/Tekirdag,29,Nov-17,11253,21,0.001866169,,,,59640,370,0.00620389
Oct-17,,Phoenix Exports Pty Ltd,Fremantle,Nghi Son,13,Oct-17,3141,2,0.00063674,,,,,,
Oct-17,,International Livestock Export Pty Ltd,Broome,Panjang,5,Oct-17,3764,0,0,,,,,,
Oct-17,,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,9,Oct-17,1092,3,0.002747253,105,1,0.00952381,,,
Oct-17,,Livestock Shipping Services Pty Ltd,Townsville,Jakarta,10,Oct-17,6115,4,0.000654129,,,,,,
Oct-17,,Australian Rural Exports Pty Ltd,Port Hedland,Panjang,5,Oct-17,2921,0,0,,,,,,
Oct-17,,Frontier International Northern  Pty Ltd,Broome,Thi Vai,7,Oct-17,2790,0,0,,,,,,
Oct-17,,South East Asian Livestock Services Pty Ltd,Darwin,Bintulu,3,Oct-17,1798,0,0,,,,,,
Oct-17,,South East Asian Livestock Services Pty Ltd,Townsville,Subic Bay,11,Oct-17,1574,9,0.005717916,,,,,,
Oct-17,,Australian Rural Exports Pty Ltd,Portland,Long An,20,Nov-17,6318,3,0.0004,,,,,,
Oct-17,,Australian Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,6,Oct-17,3474,1,0.000287853,101,0,0,,,
Oct-17,,North Australian Cattle Company Pty Ltd,Townsville,Jakarta,9,Oct-17,3552,2,0.0005,,,,,,
Oct-17,,Australian Rural Exports Pty Ltd/Edwards Livestock Company Pty Ltd/Otway LIvestock Exports Pty Ltd,Brisbane,Shinmoji,20,Nov-17,1260,1,0.000793651,,,,,,
Oct-17,,International Livestock Export Pty Ltd,Broome,Panjang,6,Oct-17,3352,2,0.0005,,,,,,
Oct-17,,Landmark Operations Pty Ltd,Geelong,Tianjin,17,Nov-17,2686,2,0.000744602,,,,,,
Oct-17,,Emanuel Exports Pty Ltd/EMS Rural Exports Pty Ltd,Adelaide/Fremantle,Port Hamad/Al Shuwaikh/Sultan Qaboos,27,Nov-17,249,0,0,,,,63970,293,0.004580272
Oct-17,,Livestock Shipping Services Pty Ltd,Fremantle,Shuwaikh,18,Nov-17,,,,,,,23558,86,0.0036
Oct-17,,Livestock Shipping Services Pty Ltd,Fremantle,Thi Vai,14,Nov-17,2097,7,0.003338102,,,,,,
Oct-17,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,5,Nov-17,3828,0,0,,,,,,
Oct-17,,Wellard Rural Exports Pty Ltd,Townsville,Panjang,11,Nov-17,3656,1,0.000273523,,,,,,
Oct-17,,Frontier International Northern  Pty Ltd/International Livestock Export Pty Ltd,Broome,Jakarta/Panjang,6,Nov-17,3639,1,0.000274801,,,,,,
Oct-17,,North Australian Cattle Company Pty Ltd,Wyndham,Jakarta,5,Nov-17,3738,2,0.000535045,,,,,,
Oct-17,,Wellard Rural Exports Pty Ltd,Portland,Shidao,18,Nov-17,1947,3,0.001540832,,,,,,
Nov-17,,Otway LIvestock Exports Pty Ltd,Fremantle,Eilat,20,Nov-17,3879,1,0.000257798,,,,9998,37,0.00370074
Nov-17,,Livestock Shipping Services Pty Ltd,Adelaide/Fremantle,Tekirdag,35,Dec-17,9538,23,0.002411407,,,,60360,261,0.004324056
Nov-17,,South East Asian Livestock Services Pty Ltd,Darwin,Sabah,6,Nov-17,1140,0,0,125,0,0,,,
Nov-17,,Livestock Shipping Services Pty Ltd,Townsville,Jakarta/Panjang,11,Nov-17,6222,3,0.00048216,,,,,,
Nov-17,,South East Asian Livestock Services Pty Ltd,Darwin,Jakarta,7,Nov-17,2048,0,0,,,,,,
Nov-17,,Emanuel Exports Pty Ltd,Fremantle,Hamad/Jebel Ali/Kuwait,21,Nov-17,,,,,,,74202,301,0.004056494
Nov-17,,Australian Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,7,Nov-17,2666,0,0,234,1,0.004273504,,,
Nov-17,,Landmark Operations Pty Ltd,Fremantle,Eilat,17,Nov-17,3503,2,0.000570939,,,,2080,10,0.004807692
Nov-17,,Frontier International Northern  Pty Ltd,Darwin,Haiphong,9,Nov-17,2572,2,0.0007,,,,,,
Nov-17,,International Livestock Export Pty Ltd,Fremantle,Belawan/Panjang,12,Nov-17,3723,2,0.000537201,,,,,,
Nov-17,,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Hamad/Jebel Ali/Kuwait/Muscat,24,Dec-17,250,0,0,,,,84667,712,0.008409416
Nov-17,,Phoenix Exports Pty Ltd,Portland,Qingdao,18,Dec-17,2382,5,0.002,,,,,,
Nov-17,,North Australian Cattle Company Pty Ltd,Townsville,Haiphong,11,Nov-17,2547,9,0.003533569,,,,,,
Nov-17,,Wellard Rural Exports Pty Ltd,Darwin,Jakarta,7,Nov-17,3543,0,0,200,0,0,,,
Nov-17,,South East Asian Livestock Services Pty Ltd,Darwin,Muara,7,Nov-17,900,1,0.001111111,,,,,,
Nov-17,,Landmark Operations Pty Ltd,Portland,Huang Hua,18,Dec-17,2797,4,0.001430104,,,,,,
Nov-17,,Halleen Australasian Livestock Traders Pty Ltd,Townsville,Cua Lo,12,Dec-17,1996,1,0.000501002,,,,,,
Nov-17,,Wellard Rural Exports Pty Ltd,Fremantle/Portland,Muscat/Trincomalee,29,Dec-17,3030,5,0.0016,,,,7250,11,0.001517241
