Departure Date,Exporter Licence Holder(s),Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
May-18,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Belawan/Port Klang,11,May-18,150,0,0,2973,0,0,,,
May-18,Frontier International Northern Pty Ltd,Darwin,Panjang,7,Jun-18,,,,3184,0,0,,,
May-18,Livestock Shipping Services Pty Ltd,Fremantle,Tekirdag,24,Jun-18,,,,3008,0,0,68039,168,0.0025
Jun-18,Landmark Operations Limited,Fremantle,Haifa,22,Jun-18,,,,3695,1,0.0003,9227,17,0.0018
Jun-18,North Australian Cattle Company Pty Ltd,Portland,Huanghua,20,Jul-18,,,,1949,13,0.0067,,,
Jun-18,Wellard Rural Exports Pty Ltd,Townsville,Panjang/Jakarta ,12,Jun-18,,,,6415,3,0.0005,,,
Jun-18,South East Asian Livestock Services Pty Ltd,Darwin,Panjang/Muara,11,Jul-18,,,,1613,3,0.0019,,,
Jun-18,Australian Rural Exports Pty Ltd,Portland,Jingtang-Tangshan,21,Jul-18,,,,3232,15,0.0046,,,
Jun-18,Frontier International Northern Pty Ltd,Darwin,Thi Vai,9,Jun-18,,,,2248,4,0.0017,,,
Jun-18,South East Asian Livestock Services Pty Ltd,Karumba,Tanjung Priok ,8,Jul-18,,,,1834,0,0,,,
Jun-18,Frontier International Northern Pty Ltd,Darwin,Hon La,11,Jul-18,405,3,0.0074,1522,2,0.0013,,,
Jun-18,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Jul-18,,,,2439,3,0.0012,,,
Jun-18,International Livestock Export Pty Ltd,Broome,Panjang,5,Jul-18,,,,6061,0,0,,,
Jun-18,Australian Rural Exports Pty Ltd,Portland,Tianjin,17,Jul-18,,,,3185,2,0.0006,,,
Jun-18,Livestock Shipping Services Pty Ltd,Darwin,Jakarta,5,Jul-18,,,,3833,1,0.0003,,,
Jun-18,Halleen Australasian Livestock Traders Pty Ltd,Townsville,Jakarta/Belawan,13,Jul-18,,,,3368,0,0,,,
Jun-18,Wellard Rural Exports Pty Ltd,Darwin,Subic Bay/Masbate,12,Jul-18,,,,4001,2,0.0005,,,
Jul-18,Australian Rural Exports Pty Ltd,Darwin,Panjang,6,Jul-18,254,0,0,2139,1,0.0004,,,
Jul-18,Livestock Shipping Services Pty Ltd,Townsville,Jakarta,11,Jul-18,,,,6408,4,0.0006,,,
Jul-18,Frontier International Northern Pty Ltd,Darwin,Jakarta,6,Jul-18,,,,5004,1,0.0002,,,
Jul-18,Frontier International Northern Pty Ltd/International Livestock Export Pty Ltd,Darwin,Panjang,6,Jul-18,,,,1816,0,0,,,
Jul-18,Otway Livestock Exports Pty Ltd/Australian Rural Exports Pty Ltd/Edwards Livestock Company Pty Ltd,Brisbane,Shinmoji,14,Jul-18,,,,1320,0,0,,,
Jul-18,Wellard Rural Exports Pty Ltd,Darwin,Jakarta,8,Jul-18,,,,6382,1,0.0001,,,
Jul-18,Purcell Bros Pty Ltd,Darwin,Haiphong,12,Jul-18,101,2,0.02,1070,2,0.002,,,
Jul-18,Phoenix Exports Pty Ltd,Portland,Ningbo,19,Jul-18,,,,2192,33,0.0151,,,
Jul-18,North Australian Cattle Company Pty Ltd/Australian Rural Exports Pty Ltd,Darwin,Jakarta,7,Jul-18,,,,6172,1,0.0002,,,
Jul-18,Frontier International Northern Pty Ltd,Darwin,Jakarta,7,Jul-18,,,,3192,0,0,,,
Jul-18,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,11,Jul-18,,,,1251,0,0,,,
Jul-18,South East Asian Livestock Services Pty Ltd,Darwin,Subic Bay,7,Jul-18,,,,1597,1,0.0006,,,
Jul-18,North Australian Cattle Company Pty Ltd,Townsville,Thi Vai,13,Jul-18,,,,1644,5,0.0031,,,
Jul-18,Australian Rural Exports Pty Ltd,Broome,Belawan,7,Jul-18,,,,2661,0,0,,,
Jul-18,Frontier International Northern Pty Ltd,Townsville,Haiphong,14,Jul-18,,,,2388,7,0.0029,,,
Jul-18,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,6,Jul-18,,,,3767,0,0,,,
Jul-18,International Livestock Export Pty Ltd,Broome,Panjang,4,Jul-18,,,,1800,2,0.002,,,
Jul-18,Wellard Rural Exports Pty Ltd,Townsville,Cua Lo/Long An,17,Aug-18,,,,3866,8,0.0021,,,
Jul-18,Wellard Rural Exports Pty Ltd,Darwin,Panjang/Jakarta ,9,Jul-18,,,,6959,2,0.0002,,,
Jul-18,Frontier International Northern Pty Ltd,Darwin,Haiphong,13,Aug-18,,,,2271,2,0.00088,,,
Jul-18,Landmark Operations Limited,Portland,Tianjin,17,Aug-18,,,,3705,2,0.0005,,,
Jul-18,International Livestock Export Pty Ltd/Livestock Shipping Services Pty Ltd,Broome,Panjang/Jakarta ,8,Jul-18,,,,6164,2,0.0003,,,
Jul-18,Livestock Shipping Services Pty Ltd,Townsville,Jakarta,11,Aug-18,,,,6309,6,0.00095,,,
Jul-18,Frontier International Northern Pty Ltd,Darwin,Haiphong,12,Aug-18,146,2,0.0137,1986,5,0.0025,,,
Jul-18,North Australian Cattle Company Pty Ltd,Darwin,Hon La,8,Aug-18,,,,2411,7,0.0029,,,
Jul-18,Australian Rural Exports Pty Ltd,Darwin,Panjang/Jakarta ,6,Aug-18,,,,2568,1,0.0004,,,
Aug-18,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,8,Aug-18,,,,1825,1,0.0005,,,
Aug-18,Australian Rural Exports Pty Ltd,Portland,Xiamen,16,Aug-18,,,,3975,0,0,,,
Aug-18,Halleen Australasian Livestock Traders Pty Ltd/North Australian Cattle Company Pty Ltd,Darwin,Jakarta,10,Aug-18,,,,6393,0,0,,,
Aug-18,South East Asian Livestock Services Pty Ltd,Darwin,Tanjung Priok/Muara,11,Aug-18,417,3,0.0072,1260,4,0.003,,,
Aug-18,South East Asian Livestock Services Pty Ltd,Darwin,Belawan,11,Aug-18,300,0,0,1536,0,0,,,
Aug-18,Frontier International Northern Pty Ltd/International Livestock Export Pty Ltd,Broome,Panjang,5,Aug-18,,,,6188,4,0.0006,,,
Aug-18,Otway Livestock Exports Pty Ltd/Australian Rural Exports Pty Ltd/Edwards Livestock Company Pty Ltd,Brisbane,Shinmoji,16,Aug-18,,,,1350,0,0,,,
Aug-18,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Kumai,7,Aug-18,,,,2441,1,0.0004,,,
Aug-18,Frontier International Northern Pty Ltd/International Livestock Export Pty Ltd,Darwin,Jakarta,7,Aug-18,,,,3093,0,0,,,
Aug-18,Phoenix Exports Pty Ltd,Darwin,Jakarta,8,Aug-18,,,,4014,0,0,,,
Aug-18,Wellard Rural Exports Pty Ltd,Townsville,Panjang/Jakarta ,13,Aug-18,,,,19057,19,0.00099,,,
Aug-18,Australian Rural Exports Pty Ltd,Wyndham,Panjang,5,Aug-18,,,,2644,0,0,,,
Aug-18,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Aug-18,,,,2455,2,0.0008,,,
Aug-18,North Australian Cattle Company Pty Ltd,Townsville,Haiphong,11,Aug-18,,,,2333,5,0.0021,,,
Aug-18,North Australian Cattle Company Pty Ltd,Townsville,Thi Vai,11,Aug-18,,,,1848,2,0.001,,,
Aug-18,Livestock Shipping Services Pty Ltd,Townsville,Jakarta,11,Aug-18,,,,6489,3,0.0005,,,
Aug-18,Frontier International Northern Pty Ltd/Wellard Rural Exports Pty Ltd,Darwin,Panjang/Jakarta ,9,Aug-18,,,,6618,0,0,,,
Aug-18,Wellard Rural Exports Pty Ltd,Townsville,Thi Vai,13,Aug-18,,,,3693,1,0.0003,,,
Aug-18,North Australian Cattle Company Pty Ltd,Fremantle,Huanghua,15,Sep-18,,,,2190,3,0.0013,,,
Aug-18,Frontier International Northern Pty Ltd/International Livestock Export Pty Ltd,Broome,Panjang/Belawan,9,Aug-18,,,,3661,3,0.0008,,,
Aug-18,Frontier International Northern Pty Ltd,Broome,Hon La,11,Sep-18,,,,2314,1,0.0004,,,
Aug-18,Frontier International Northern Pty Ltd,Darwin,Hon La,12,Sep-18,487,6,0.01232,1653,2,0.00123,,,
Aug-18,North Australian Cattle Company Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Jakarta,7,Aug-18,,,,2534,1,0.0004,,,
Aug-18,South East Asian Livestock Services Pty Ltd,Karumba,Jakarta,8,Sep-18,,,,1733,0,0,,,
Aug-18,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,12,Sep-18,,,,1129,2,0.00177,,,
Aug-18,North Australian Cattle Company Pty Ltd,Geelong,Dongying,18,Sep-18,,,,3579,1,0.0003,,,
Aug-18,Australian Rural Exports Pty Ltd,Broome,Belawan,7,Sep-18,,,,2647,1,0.0003,,,
Aug-18,Australiasian Global Exports Pty Ltd,Portland,Qinhuandao,21,Sep-18,,,,6226,14,0.0019,,,
Aug-18,Frontier International Northern Pty Ltd,Broome,Hon La,10,Sep-18,,,,1514,3,0.002,,,
Aug-18,North Australian Cattle Company Pty Ltd,Townsville,Phu My,11,Sep-18,,,,2396,6,0.0025,,,
