Departure Date,,Exporter Licence Holder(s),Load Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Jun-19,,Atlas Exports Pty Ltd,Fremantle,Eilat,21,Jul-19,,,,5173,3,0.000579934,,,
Jun-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,13,Jul-19,,,,1894,4,0.002111932,,,
Jun-19,,Australasian Global Exports Pty Ltd,Portland,Tangshan,23,Jul-19,,,,5799,18,0.003103983,,,
Jun-19,,Australian Rural Exports Pty Ltd,Wyndham,Panjang,6,Jul-19,164,0,0,2751,2,0.000727008,,,
Jun-19,,Livestock Shipping Services Pty Ltd,Townsville,Jakarta,8,Jul-19,,,,5858,1,0.000170707,,,
Jun-19,,International Livestock Export Pty Ltd,Broome,Panjang/Pasir Gudang,9,Jul-19,,,,16021,7,0.000436927,,,
Jun-19,,North Australian Cattle Company Pty Ltd,Townsville,Hon La,14,Jul-19,,,,3732,1,0.000267953,,,
Jun-19,,South East Asian Livestock Services Pty Ltd,Darwin,Subic Bay,8,Jul-19,,,,1496,3,0.002005348,,,
Jun-19,,South East Asian Livestock Services Pty Ltd,Townsville,Phu My,10,Jul-19,,,,2201,4,0.001817356,,,
Jun-19,,International Livestock Export Pty Ltd,Darwin,Jakarta,4,Jun-19,,,,3656,3,0.000820569,,,
Jun-19,,Wellard Rural Exports Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Jakarta/Panjang,9,Jul-19,,,,6805,4,0.000587803,,,
Jun-19,,North Australian Cattle Company Pty Ltd,Darwin,Pasir Gudang,10,Jul-19,187,1,0.0053,2581,4,0.001549787,,,
Jun-19,,Australian Rural Exports Pty Ltd,Portland,Dafeng,17,Jul-19,,,,3406,4,0.001174398,,,
Jun-19,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Belawan,8,Jul-19,,,,2012,0,0,,,
Jun-19,,South East Asian Livestock Services Pty Ltd,Fremantle,Huanghua,15,Jul-19,,,,2303,8,0.00347373,,,
Jun-19,,Australian Rural Exports Pty Ltd,Geelong,Lianyungang,16,Jul-19,,,,3449,7,0.002029574,,,
Jul-19,,Frontier International Northern Pty Ltd,Darwin,Jakarta,6,Jul-19,,,,3635,2,0.000550206,,,
Jul-19,,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,10,Jul-19,,,,1354,0,0,,,
Jul-19,,Livestock Shipping Services Pty Ltd,Port Alma,Haiphong,12,Jul-19,,,,4018,11,0.00273768,,,
Jul-19,,Edwards Livestock Company Pty Ltd/Otway Livestock Exports Pty Ltd/Australian Rural Exports Pty Ltd,Brisbane,Shinmoji,14,Jul-19,,,,1500,3,0.002,,,
Jul-19,,South East Asian Livestock Services Pty Ltd,Darwin,Jakarta,7,Jul-19,,,,3403,0,0,,,
Jul-19,,Australian Rural Exports Pty Ltd,Darwin,Panjang/Belawan,10,Jul-19,227,0,0,2259,0,0,,,
Jul-19,,Frontier International Northern Pty Ltd,Darwin,Jakarta/Panjang,8,Jul-19,,,,6553,0,0,,,
Jul-19,,South East Asian Livestock Services Pty Ltd/Livestock Shipping Service Pty Ltd/Australian Rural Export Pty Ltd/Halleen Australasian Livestock Traders Pty Ltd,Townsville/Darwin,Jakarta/Panjang,18,Jul-19,,,,18599,8,0.000430131,,,
Jul-19,,International Livestock Export Pty Ltd,Broome,Panjang,5,Jul-19,,,,3824,1,0.000261506,,,
Jul-19,,Livestock Shipping Services Pty Ltd/Australian Rural Export Pty Ltd,Darwin,Cilicap/Jakarta,8,Jul-19,,,,6405,0,0,,,
Jul-19,,North Australian Cattle Company Pty Ltd,Darwin,Phu My,10,Jul-19,,,,2419,8,0.003307152,,,
Jul-19,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,8,Jul-19,,,,2742,1,0.000364697,,,
Jul-19,,South East Asian Livestock Services Pty Ltd,Darwin,Subic Bay,8,Jul-19,,,,1626,6,0.003690037,,,
Jul-19,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Long An,8,Jul-19,,,,1875,3,0.0016,,,
Jul-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Jul-19,,,,2451,2,0.000815993,,,
Jul-19,,International Livestock Export Pty Ltd,Broome,Panjang,4,Jul-19,,,,3886,0,0,,,
Jul-19,*,Frontier International Northern Pty Ltd,Darwin,Hon La,10,Jul-19,209,0,0,1852,22,0.01187905,,,
Jul-19,,South East Asian Livestock Services Pty Ltd,Darwin,Muara/Bintulu,8,Jul-19,508,0,0,2504,1,0.000399361,,,
Jul-19,,Landmark Operations Limited,Portland,Huanghua,18,Aug-19,,,,8050,13,0.001614907,,,
Jul-19,,North Australian Cattle Company Pty Ltd,Townsville,Haiphong,13,Aug-19,,,,2377,8,0.003365587,,,
Jul-19,,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,11,Aug-19,,,,1271,7,0.005507474,,,
Jul-19,,Australian Rural Exports Pty Ltd,Darwin,Cilicap,5,Aug-19,,,,2875,0,0,,,
Jul-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Aug-19,,,,2370,4,0.001687764,,,
Jul-19,,International Livestock Export Pty Ltd,Darwin,Panjang,6,Aug-19,,,,3296,1,0.000303398,,,
Jul-19,,Livestock Shipping Services Pty Ltd,Darwin,Panjang/Jakarta,7,Aug-19,,,,6273,0,0,,,
Jul-19,,International Livestock Export Pty Ltd/Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,6,Aug-19,,,,3713,2,0.000538648,,,
Jul-19,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,7,Aug-19,,,,2753,1,0.00036324,,,
Jul-19,,International Livestock Export Pty Ltd,Broome,Quy Nhon,7,Aug-19,,,,2729,0,0,,,
Jul-19,,Total Livestock Genetics Pty Ltd,Geelong,Belawan,13,Aug-19,,,,1600,0,0,,,
Jul-19,,South East Asian Livestock Services Pty Ltd/Australian Rural Exports Pty Ltd/North Australian Cattle Company Pty Ltd,Townsville,Jakarta/Panjang/Belawan,17,Aug-19,,,,18758,24,0.001279454,,,
Aug-19,,South East Asian Livestock Services Pty Ltd,Darwin,Subic Bay,8,Aug-19,,,,1498,5,0.003337784,,,
Aug-19,,Australian Rural Exports Pty Ltd,Portland,Yantai,16,Aug-19,,,,3942,1,0.000253678,,,
Aug-19,,Edwards Livestock Company Pty Ltd/Otway Livestock Exports Pty Ltd/Australian Rural Exports Pty Ltd,Brisbane,Shinmoji,15,Aug-19,,,,1470,0,0,,,
Aug-19,,Livestock Shipping Services Pty Ltd,Port Alma,Haiphong,12,Aug-19,,,,4145,9,0.002171291,,,
Aug-19,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Long An,8,Aug-19,,,,1696,0,0,,,
Aug-19,*^,South East Asian Livestock Services Pty Ltd,Darwin,Hon La/Phu My,12,Aug-19,809,6,0.0074,1629,5,0.003069368,,,
Aug-19,,South East Asian Livestock Services Pty Ltd,Townsville,Thi Vai,12,Aug-19,,,,3496,12,0.003432494,,,
Aug-19,,South East Asian Livestock Services Pty Ltd,Darwin,Jakarta,6,Aug-19,,,,2869,2,0.000697107,,,
Aug-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Aug-19,,,,2429,0,0,,,
Aug-19,,Frontier International Northern Pty Ltd,Darwin,Jakarta,7,Aug-19,,,,2987,0,0,,,
Aug-19,,International Livestock Export Pty Ltd,Broome,Hon La,12,Aug-19,,,,2525,8,0.003168317,,,
Aug-19,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,7,Aug-19,,,,2497,1,0.000400481,,,
Aug-19,,North Australian Cattle Company Pty Ltd,Darwin,Phu My,10,Aug-19,,,,2433,5,0.002055076,,,
Aug-19,,North Australian Cattle Company Pty Ltd,Darwin,Haiphong,8,Aug-19,,,,2629,5,0.001901864,,,
Aug-19,,Australian Rural Exports Pty Ltd,Darwin,Panjang/Jakarta,6,Aug-19,500,0,0,2160,1,0.000462963,,,
Aug-19,,Southern Australian Cattle Company Pty Ltd,Fremantle,Ningbo,12,Aug-19,,,,1812,14,0.007726269,,,
Aug-19,,North Australian Cattle Company Pty Ltd,Townsville,Phu My,10,Aug-19,,,,2495,3,0.001202405,,,
Aug-19,,South East Asian Livestock Services Pty Ltd,Darwin,Subic Bay,8,Sep-19,,,,1377,2,0.001452433,,,
Aug-19,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,4,Aug-19,,,,2863,1,0.000349284,,,
Aug-19,,South East Asian Livestock Services Pty Ltd,Townsville,Haiphong,12,Sep-19,,,,2390,1,0.00041841,,,
Aug-19,,Australian Rural Exports Pty Ltd,Broome,Panjang,5,Aug-19,,,,2854,1,0.000350385,,,
Aug-19,,Frontier International Northern Pty Ltd,Darwin,Jakarta,7,Aug-19,,,,2987,0,0,,,
Aug-19,,Livestock Shipping Services Pty Ltd,Townsville,Jakarta,17,Aug-19,,,,5913,12,0.002029427,,,
Aug-19,,Frontier International Northern Pty Ltd,Darwin,Jakarta/Panjang,8,Aug-19,,,,3138,1,0.000318674,,,
Aug-19,,South East Asian Livestock Services Pty Ltd,Townsville,Bangkok,15,Sep-19,,,,1669,0,0,,,
Aug-19,,International Livestock Export Pty Ltd,Broome,Jakarta/Panjang,9,Aug-19,,,,15859,7,0.00044139,,,
Aug-19,,Australian Rural Exports Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Belawan,8,Sep-19,279,0,0,2317,1,0.000431593,,,
Aug-19,,South East Asian Livestock Services Pty Ltd,Townsville,Jakarta,8,Sep-19,,,,3671,5,0.001362027,,,
Aug-19,,Australian Rural Exports Pty Ltd,Broome,Panjang,5,Aug-19,,,,2854,1,0.000350385,,,
Aug-19,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Kumai,6,Sep-19,,,,2176,1,0.000459559,,,
Aug-19,,Australian Rural Exports Pty LTd,Darwin,Jakarta,7,Sep-19,,,,3561,0,0,,,
Aug-19,,North Australian Cattle Company Pty Ltd,Townsville,Hon La,14,Sep-19,,,,4465,5,0.001119821,,,
Sep-19,,North Australian Cattle Company Pty Ltd,Townsville,Phu My,11,Sep-19,,,,2513,0,0,,,
Sep-19,,Frontier International Northern Pty Ltd,Darwin,Jakarta,4,Sep-19,,,,2693,0,0,,,
Sep-19,,Australian Rural Exports Pty Ltd,Townsville,Panjang,7,Sep-19,,,,4124,2,0.000484966,,,
Sep-19,,Australian Rural Exports Pty Ltd,Portland,Tianjin ,16,Sep-19,,,,8316,2,0.0002405,,,
Sep-19,,North Australian Cattle Company Pty Ltd,Wyndham,Jakarta,8,Sep-19,,,,2778,2,0.000719942,,,
Sep-19,,Livestock Shipping Services Pty Ltd,Townsville,Haiphong,11,Sep-19,,,,4211,9,0.00213726,,,
Sep-19,,Frontier International Northern Pty Ltd,Darwin,Hon La,10,Sep-19,305,0,0,1778,3,0.001687289,,,
